"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
61,"Arts/Movies",971796,2626972,2305
48,"Arts/Television",59969,2343443,1723
47,"Arts/Comics",7947,748944,738
46,"Sports/Soccer",48893,613421,636
42,"Society/Religion and Spirituality",14122,1035239,2390
42,"Games/Video Games/Developers and Publishers",3980,371493,203
39,"Arts/Literature",4964,344977,1737
38,"Arts/Performing Arts",29977,745396,1436
38,"Arts/Music",12065,1433914,3657
35,"Arts/People",8814,188530,514
35,"Arts/Entertainment",2215,23994,212
34,"Recreation/Outdoors",754,114163,470
33,"Arts",157661,1527317,1450
33,"Society/People",37302,1114414,3233
33,"Business/Arts and Entertainment",5047,234571,1134
32,"Computers/News and Media",31122,58660,581
32,"Computers/Systems",9694,83928,557
32,"Shopping/Entertainment",3025,60814,284
31,"Business",14402,908100,2905
31,"Arts/Radio",2288,591947,1249
31,"Society/History",1120,209985,690
30,"Arts/Animation",12225,237265,977
30,"Home/Cooking",1158,104525,485
30,"Society/Ethnicity",763,192076,365
30,"Society/Activism",216,158364,371
29,"News/Newspapers",12391,342871,1389
29,"Home/Consumer Information",6592,41295,435
29,"Society/Issues",3671,713498,2074
29,"Arts/Design",3093,114863,467
29,"Business/Telecommunications",515,45121,359
29,"Society/Philanthropy",188,120633,461
29,"Science/Publications",45,1116,68
28,"Recreation/Travel",18494,1934861,3788
28,"Society/Gay  Lesbian  and Bisexual",5646,105091,514
28,"Sports/Equestrian",4655,53800,441
28,"Business/Business Services",1439,255350,1036
28,"Society/Law",1378,349971,1071
28,"Computers/Data Formats",511,212844,435
27,"Reference/Education",5192,1547920,3560
26,"Regional/Europe",283543,1403067,3379
26,"News/Magazines and E-zines",16521,171158,768
26,"News/Media Industry",12892,1339190,2551
26,"Games/Video Games/News and Reviews",5559,35461,209
26,"Computers/Internet/On the Web",4516,188801,1465
26,"Recreation/Boating",4513,18206,121
26,"Regional/North America",1086,410205,1353
26,"Computers/Mobile Computing",884,4144,129
26,"Business/Information Technology",392,2898,163
26,"Business/Publishing and Printing",361,120259,493
26,"News/Journalism",358,42799,421
26,"Games/Video Games",127,2663,109
26,"Science/Educational Resources",11,18738,52
25,"Recreation/Food",57409,796909,1134
25,"Computers/Software/Operating Systems",10254,727920,1035
25,"Sports/Resources",9878,271460,225
25,"Science/Technology",7532,84554,663
25,"Computers/Internet/Searching",5573,263077,832
25,"Business/Consumer Goods and Services",2781,99613,639
25,"Recreation/Autos",1821,369419,914
25,"Business/Construction and Maintenance",792,81018,688
25,"Arts/Architecture",777,251398,238
25,"Home/Personal Finance",580,4313,214
25,"Sports/Wrestling",63,1650,62
25,"Regional/Central America",17,716,19
24,"Science/Astronomy",6934,43020,252
24,"Computers/Internet/Web Design and Development",6355,72135,1211
24,"Arts/Genres",4338,81202,124
24,"Recreation/Motorcycles",1583,167262,622
24,"Business/Marketing and Advertising",1262,34908,645
24,"Computers/Security",1248,35960,367
24,"Computers/Internet",925,727803,848
24,"Science/Social Sciences",881,149407,1491
24,"Arts/Crafts",208,31453,250
24,"Sports/Winter Sports",82,2295,156
24,"Computers/Software/Databases",28,3030,51
23,"Society/Politics",8339,873691,2093
23,"Regional/Asia",5138,654379,618
23,"Science/Environment",4746,330138,720
23,"Business/Transportation and Logistics",857,196172,698
23,"Business/Directories",482,656910,164
23,"Arts/Illustration",130,9089,122
23,"Science/Science in Society",76,30371,111
23,"Shopping/Gifts",41,159,20
23,"Computers/Software/Educational",3,275,21
22,"Sports/Hockey",1969,127933,104
22,"Computers/Virtual Reality",1179,18605,50
22,"Home/Family",698,382977,1160
22,"Reference/Libraries",565,128477,563
22,"Computers/Software/Graphics",545,6466,147
22,"Science/Biology",228,186786,560
22,"News/Analysis and Opinion",151,17133,87
22,"Science/Anomalies and Alternative Science",139,4702,62
22,"Reference",88,8867,69
22,"Business/Agriculture and Forestry",65,84402,186
22,"Games/Video Games/Multiplayer",43,624,32
22,"Health/Public Health and Safety",23,486,90
21,"Arts/Writers Resources",9567,285211,374
21,"Health/Conditions and Diseases",1264,60773,431
21,"Business/Financial Services",1215,40147,754
21,"Society/Organizations",1124,373254,1371
21,"News/Breaking News",755,32105,187
21,"News",589,76789,473
21,"Recreation/Humor",587,107309,440
21,"Recreation/Audio",431,3477,65
21,"News/Colleges and Universities",328,21611,125
21,"Games/Video Games/Console Platforms",269,3859,128
21,"Games/Video Games/Roleplaying",225,15220,251
21,"Health/Alternative",121,66456,274
21,"Computers/Companies",109,2070,103
21,"News/Current Events",26,869,59
21,"Business/Retail Trade",18,757,71
21,"Shopping/Vehicles",13,4891,84
20,"Computers/Multimedia",7604,33884,284
20,"Sports/Football",1487,593382,446
20,"Business/Opportunities",1101,2342,95
20,"Society/Government",934,201342,1062
20,"Arts/Magazines and E-zines",697,18668,122
20,"Sports/Baseball",612,90536,240
20,"Arts/Weblogs",443,22917,82
20,"Arts/Online Writing",303,160576,362
20,"Reference/Biography",250,1345,50
20,"Computers/Software/Freeware",239,4886,180
20,"Computers/Software",156,733,58
20,"Science/Earth Sciences",138,147981,249
20,"Business/Automotive",126,26378,260
20,"Games/Video Games/Computer Platforms",52,2490,59
20,"Shopping/Ethnic and Regional",27,4550,22
19,"Computers/Software/Internet",5829,47135,561
19,"Arts/Photography",958,30818,466
19,"Health/Mental Health",711,56649,332
19,"Games/Video Games/Shooter",701,102559,134
19,"Society/Philosophy",523,19297,389
19,"Society/Paranormal",484,22673,312
19,"Reference/Dictionaries",131,6615,132
19,"Science/Physics",110,262592,248
19,"World/Deutsch",87,2124,156
18,"Society/Subcultures",5080,18017,331
18,"Society",2890,258301,1374
18,"Reference/Museums",854,273670,743
18,"Business/Investing",832,4146,343
18,"Recreation",582,185885,459
18,"Regional/South America",378,187408,181
18,"Recreation/Collecting",203,9105,193
18,"Arts/Education",171,30326,139
18,"Computers/Software/Directories",61,6984,76
18,"Computers/Consultants",27,1701,63
18,"Sports/Extreme Sports",7,213,14
17,"Computers/Hardware",9066,59414,547
17,"Sports/Basketball",5883,59118,128
17,"Computers/Software/Desktop Customization",5737,29573,90
17,"Recreation/Radio",1753,210135,762
17,"Health/Fitness",1005,19409,91
17,"Science/Math",226,50422,365
17,"Home",154,19306,69
17,"Society/Military",124,6700,206
17,"Shopping/Home and Garden",121,2880,146
17,"Health/Child Health",98,1326,47
17,"Games/Video Games/Adventure",82,2054,45
17,"Arts/Graphic Design",76,912,103
17,"Sports/Tennis",58,102855,146
17,"Home/Personal Organization",33,665,49
17,"Health/Senior Health",24,200001,100
17,"Business/Materials",11,644,42
17,"Health/Support Groups",11,195,15
17,"Computers/Speech Technology",5,284,22
17,"Computers/Internet/Commercial Services",4,34,8
16,"Shopping/Consumer Electronics",2018,16285,127
16,"Computers/History",1479,18289,58
16,"Science/News and Media",1259,31013,132
16,"Health/Medicine",939,41816,455
16,"Business/Real Estate",760,110842,687
16,"Computers/Programming/Languages",756,40313,887
16,"Computers/Software/Editors",623,13478,23
16,"Sports/Motorsports",503,52661,164
16,"Computers/Internet/Access Providers",483,22765,163
16,"Shopping/Publications",327,47346,294
16,"Arts/Awards",221,386,14
16,"Business/Healthcare",151,2830,144
16,"Sports/Running",40,22526,121
16,"Sports/Volleyball",38,124,11
16,"Computers/Internet/Cybercafes",35,44,4
16,"Games/Card Games",6,421,24
15,"Computers/Internet/News and Media",679,2432,65
15,"Society/Relationships",384,28069,299
15,"Shopping/Clothing",333,6615,150
15,"Computers/Data Communications",225,1386,51
15,"Business/Food and Related Products",225,447997,440
15,"Shopping/Food",155,17872,174
15,"Reference/Directories",122,8630,94
15,"Computers/Organizations",107,3386,52
15,"Recreation/Aviation",89,22321,110
15,"Society/Folklore",70,21969,140
15,"Shopping/Health",68,1684,138
15,"Health/News and Media",49,462,91
15,"Computers/FAQs  Help  and Tutorials",45,1164,38
15,"Recreation/Climbing",20,355,47
14,"Recreation/Pets",8609,441920,1168
14,"Health",3320,29547,444
14,"News/Weblogs",1785,17428,290
14,"Games/Board Games",565,27876,151
14,"Games/Video Games/Strategy",543,31356,90
14,"Sports/Cycling",449,44379,197
14,"Games",293,1246,34
14,"News/Weather",249,27566,104
14,"Society/Disabled",213,50472,157
14,"Arts/Video",137,741,36
14,"Home/Apartment Living",77,873,41
14,"Sports/Disabled",27,567,32
14,"Computers",12,1921,58
14,"Computers/Software/Spreadsheets",6,16,7
14,"Computers/Human-Computer Interaction",5,254,47
13,"Shopping",4492,77239,351
13,"World/Italiano",188,3116,95
13,"Recreation/Living History",174,189,24
13,"Society/Holidays",105,23403,153
13,"Society/Death",96,1083,61
13,"Computers/Software/Shareware",94,58980,75
13,"Health/Dentistry",91,25911,121
13,"Business/Hospitality",83,5953,148
13,"Business/E-Commerce",75,9201,50
13,"Society/Lifestyle Choices",70,14892,104
13,"Business/Small Business",47,31115,170
13,"Computers/Artificial Intelligence",43,2051,163
13,"Games/Puzzles",33,721,51
13,"Shopping/Music",15,363,55
13,"Reference/Knowledge Management",14,3850,69
13,"Computers/Education",13,4036,79
13,"Shopping/Classifieds",11,9374,68
13,"Games/Video Games/Action-Adventure",9,18388,48
12,"Computers/Internet/E-mail",775,8167,199
12,"Shopping/Visual Arts",510,134929,135
12,"Shopping/General Merchandise",331,8534,35
12,"Business/Management",146,8016,198
12,"Society/Work",138,42231,120
12,"News/Alternative",122,51926,192
12,"Games/Roleplaying",116,2148,139
12,"Arts/Humanities",103,763,56
12,"News/Headline Links",63,18620,59
12,"Business/Employment",59,4957,237
12,"Reference/Archives",49,569,40
12,"World/Català",43,960,12
12,"Business/Electronics and Electrical",43,2673,201
12,"Sports/Petanque",28,23069,10
12,"Sports/Strength Sports",27,546,27
12,"Business/Associations",11,269,42
12,"Shopping/Travel",5,117,8
11,"Adult/Arts",4099,218678,87
11,"Computers/Programming/Internet",1100,158337,102
11,"Arts/Visual Arts",730,125006,583
11,"Business/Industrial Goods and Services",607,284534,617
11,"Business/International Business and Trade",270,153839,58
11,"Arts/Art History",222,33728,195
11,"News/Directories",182,20677,405
11,"Computers/Programming/Resources",118,2767,60
11,"Business/Energy",110,87169,239
11,"Computers/Graphics",98,3146,122
11,"Reference/Encyclopedias",90,138,34
11,"Computers/Internet/Proxying and Filtering",86,675,53
11,"Society/Genealogy",67,12310,90
11,"Sports/Water Sports",59,4419,111
11,"Business/Biotechnology and Pharmaceuticals",36,1431,45
11,"Computers/Computer Science/Academic Departments",36,11397,100
11,"Games/Video Games/Simulation",31,490,52
11,"Recreation/Nudism",23,105,30
11,"Sports/Fantasy",20,12653,25
11,"Adult/Society",18,2251,112
11,"Recreation/Camps",16,142,16
11,"Computers/Internet/Chat",15,2576,52
11,"Health/Specific Substances",14,40,8
11,"Computers/Computer Science/Database Theory",3,19,3
10,"Games/Online",490,17169,78
10,"Games/Gambling",380,4851,94
10,"Arts/Organizations",278,13352,85
10,"Adult/Shopping",169,3710,299
10,"Science/Events",147,49,10
10,"Games/Video Games/Sports",145,1486,22
10,"Sports/Events",135,818,61
10,"Sports/Golf",128,57585,188
10,"Games/Game Studies",92,1693,40
10,"Science/Agriculture",92,92221,322
10,"Computers/Software/File Management",54,30497,36
10,"Computers/Internet/Resources",48,116,17
10,"Shopping/Recreation",46,264,63
10,"Computers/Robotics",43,275,33
10,"Business/Major Companies",30,904,42
10,"Business/Accounting",25,495,50
10,"Games/Video Games/Downloads",23,7923,22
10,"Business/Crypto",23,922,65
10,"Computers/Internet/Organizations",22,235,34
10,"Games/Video Games/Browser Based",20,1367,54
10,"Science/Reference",20,124916,14
10,"Computers/Software/Disk Management",19,921,26
10,"Computers/Emulators",15,1154,48
10,"Health/Nursing",14,12723,66
10,"Health/Organizations",10,94,27
10,"Games/Video Games/Recreation",9,78,12
10,"Computers/Software/System Management",7,40,9
10,"Computers/Software/Globalization",5,170,30
9,"Recreation/Scouting",1167,2176,68
9,"Sports/Boxing",286,1875,48
9,"Home/Gardening",271,19541,310
9,"Recreation/Theme Parks",237,68079,69
9,"Computers/Open Source",188,13479,296
9,"Business/News and Media",171,17143,135
9,"Society/Crime",96,395,59
9,"Recreation/Roads and Highways",86,16894,53
9,"Games/Video Games/Puzzle",74,3565,25
9,"Society/Transgender",72,16804,67
9,"Sports",62,1714,66
9,"News/Extended Coverage",54,10,3
9,"Arts/Bodyart",28,72194,11
9,"Sports/Skating",18,20476,26
9,"Computers/Programming/Games",17,69,14
9,"Computers/Internet/Child Safety",16,668,38
9,"Sports/Walking",14,28,10
