"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
72,"Arts/Television",34939,425810,813
58,"Arts/Comics",7447,86989,340
54,"Arts/Movies",19032,655872,879
53,"Society/Politics",8220,127461,1015
53,"Sports/Boxing",6497,100847,27
53,"Arts/Entertainment",2293,25653,84
48,"News",875,129441,279
45,"Arts/Animation",7502,162270,429
38,"Arts/Literature",13155,385837,755
38,"Recreation/Humor",2652,396123,236
37,"Business/Arts and Entertainment",9102,392104,432
37,"Health/Child Health",4846,17153,35
37,"Arts/People",2088,74764,210
36,"Business/Telecommunications",2397,42457,279
35,"Arts/Music",3901,689843,1695
33,"News/Newspapers",4902,377428,792
33,"Games/Video Games/Developers and Publishers",216,71487,82
33,"Shopping/Consumer Electronics",174,7085,61
30,"Health/Alternative",130,4225,135
29,"Sports/Resources",53700,549236,157
29,"Sports/Cycling",19888,413011,130
29,"Computers/Internet/On the Web",2987,394543,771
29,"Computers/Internet/Access Providers",306,30671,137
28,"Society/People",9723,226550,1546
28,"Home/Consumer Information",3731,63000,239
28,"Computers/News and Media",2629,43624,335
28,"Arts/Performing Arts",2174,52858,553
28,"Society/Religion and Spirituality",1650,91635,1175
28,"Regional/North America",1137,33237,681
28,"News/Magazines and E-zines",837,47081,357
28,"Society/Gay  Lesbian  and Bisexual",505,76710,244
28,"Recreation/Motorcycles",331,50055,360
28,"Arts/Writers Resources",317,10685,137
27,"News/Media Industry",4472,50150,1350
27,"Shopping/Auctions",3954,28153,13
27,"Business/Business Services",614,21584,600
27,"Computers/Mobile Computing",564,1194,73
27,"Games/Video Games/Shooter",174,8043,58
27,"Regional/South America",104,10727,145
27,"Computers/Consultants",75,515,28
27,"Recreation/Theme Parks",35,3996,41
26,"Regional/Europe",15025,538929,1898
26,"Reference/Education",3338,83030,1677
26,"Arts",1510,62610,600
26,"Recreation/Autos",821,84733,681
26,"Sports/Hockey",203,603,84
26,"Sports/Track and Field",61,32851,35
25,"Sports/Motorsports",9398,191973,189
25,"Computers/Internet/Searching",3260,126755,607
25,"Recreation",707,68919,252
24,"Sports/Soccer",45538,553123,436
24,"Business",3244,585961,1548
24,"Recreation/Travel",3062,354143,1935
24,"Health/Conditions and Diseases",349,58211,189
24,"Reference/Libraries",313,38577,275
24,"Home/Personal Finance",149,4132,113
24,"Shopping/Clothing",134,4546,68
24,"Society/Activism",121,5494,221
24,"Computers/Software/Globalization",12,33778,18
23,"Shopping/Entertainment",630,35481,125
23,"Health/Mental Health",327,5413,166
23,"Computers/Artificial Intelligence",106,1573,103
23,"Health/Public Health and Safety",31,353,41
22,"Society/Issues",1439,31172,971
22,"Recreation/Food",957,99974,560
22,"Business/Construction and Maintenance",586,47850,329
22,"Arts/Radio",565,12745,628
22,"Sports/Martial Arts",109,729,72
21,"Business/Publishing and Printing",12948,37943,208
21,"Sports/Running",5999,43198,63
21,"Sports/Tennis",3261,389848,124
21,"Computers/Internet",2771,84552,491
21,"Home/Family",732,27967,587
21,"Adult/World",602,8079,408
21,"Arts/Design",553,18803,199
21,"Computers/Systems",464,45845,245
21,"Business/Marketing and Advertising",344,74967,320
21,"Sports/Water Sports",208,854,68
21,"Society/Philosophy",111,1257,152
21,"Recreation/Boating",76,394,106
20,"Computers/Internet/Web Design and Development",7138,243445,700
20,"Arts/Genres",458,7883,44
20,"Business/Financial Services",339,33137,421
20,"Sports/Golf",260,2210,113
20,"Recreation/Outdoors",226,80693,224
20,"Society/Paranormal",167,1366,113
20,"Arts/Organizations",149,10015,29
20,"Computers/Internet/E-mail",118,5922,107
20,"News/Alternative",59,1138,75
20,"Games",38,1976,16
20,"Arts/Weblogs",35,491,24
20,"Games/Video Games/Adventure",23,332,16
