"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
65,"Arts/Television",148809,1948387,2110
64,"News",175517,1728812,510
55,"Arts/Movies",246741,2508830,2699
51,"Arts/Music",8479,355522,5912
48,"Arts/Animation",17235,199730,1848
47,"News/Media Industry",149629,1324395,3291
43,"Science/News and Media",26398,1176266,315
43,"Business/News and Media",25578,1170439,209
43,"Business/Arts and Entertainment",3830,1268154,1373
41,"Computers/Internet/On the Web",9289,1342418,2670
37,"Arts/Performing Arts",5549,187804,1939
37,"Computers/Software/Operating Systems",4263,1136673,2352
35,"Arts/Literature",9290,197048,3176
35,"Sports/Resources",616,1216473,384
35,"Recreation/Theme Parks",424,1177818,143
33,"News/Newspapers",4516,73829,1703
33,"Business/Telecommunications",689,28506,617
33,"Sports/Basketball",318,9482,332
32,"Society/Issues",32312,776797,3684
32,"Reference/Education",14579,1283597,5905
31,"Arts/People",5983,547979,664
31,"Computers/Security",946,43422,914
31,"Games/Video Games/Fighting",43,734,24
30,"Society/People",28453,1081054,7067
30,"Business/Business Services",16031,1168668,2000
30,"Society/Law",11968,417398,2045
30,"Society/Gay  Lesbian  and Bisexual",2754,822354,899
30,"Arts/Entertainment",2651,55170,333
30,"Home/Personal Finance",2133,14063,482
30,"Computers/Data Formats",1185,163219,1078
29,"Regional/Europe",216768,1624365,5050
29,"Computers/Internet/Searching",6997,117969,1676
29,"Arts",2740,99618,2010
29,"Games/Video Games/Shooter",279,27653,292
28,"Society/Politics",25441,385794,3792
28,"Reference/Directories",14449,11051,218
28,"Home/Consumer Information",7339,71079,822
28,"News/Weblogs",4009,63779,946
28,"Science/Environment",3818,23518,1293
28,"Society/Philosophy",1696,41996,756
28,"News/Breaking News",1581,49161,233
28,"Society/Work",1538,2313,196
28,"Society/Activism",1061,1069017,542
27,"Society/Religion and Spirituality",11886,2075347,4423
27,"Business/Customer Service",6471,217,60
27,"Arts/Comics",6168,74119,1362
27,"Computers/Programming/Languages",2557,683437,2341
27,"Business/Investing",1762,6936,611
27,"Health/Mental Health",1587,37465,626
27,"Computers/Internet/E-mail",760,6841,369
27,"Sports/Golf",724,31607,347
27,"Shopping/Clothing",440,28252,282
27,"Computers/Internet/Access Providers",252,3156,254
27,"Science/Educational Resources",162,9337,128
27,"Sports/Hockey",117,4234,181
26,"Business",68015,1334901,5279
26,"Society/Paranormal",11342,44141,487
26,"Business/Financial Services",3052,27185,1310
26,"Society/Government",2960,134824,1684
26,"Arts/Writers Resources",2752,37286,860
26,"Regional/North America",2735,128979,2433
26,"Computers/Software/Internet",1842,649705,1449
26,"Arts/Online Writing",1714,36682,883
26,"Science/Earth Sciences",1582,48483,442
26,"Society/Holidays",1472,3650,257
26,"Reference/Biography",1470,2951,73
26,"Computers/Internet",1369,33146,1738
26,"Science/Technology",1287,27261,1230
25,"Recreation/Travel",7917,372357,6613
25,"News/Alternative",4422,339364,286
25,"News/Magazines and E-zines",4327,62077,1087
25,"Society/History",2803,42392,1425
25,"Computers/Internet/Web Design and Development",2439,110752,2716
25,"Shopping/Entertainment",1256,479010,287
25,"News/Directories",575,15739,490
25,"News/Weather",306,880,122
25,"Computers/FAQs  Help  and Tutorials",296,10951,120
25,"Reference/Maps",95,102936,1062
24,"Computers/News and Media",4948,100461,1033
24,"Arts/Radio",3392,42173,1588
24,"Home/Family",2955,180628,2728
24,"Computers/Systems",2465,61120,1007
24,"Recreation/Humor",2244,155515,990
24,"News/Headline Links",2170,525,75
24,"Business/Marketing and Advertising",1263,53862,1402
24,"Recreation/Outdoors",748,13160,968
24,"Society/Military",740,12756,346
24,"Arts/Genres",582,28533,285
24,"Shopping",445,17394,520
24,"Sports/Motorsports",207,6446,332
24,"Shopping/Classifieds",79,3126,100
24,"Reference/Time",41,1928,34
24,"Shopping/Weddings",19,42,5
24,"Sports/College and University",1,177,14
23,"Home/Cooking",6068,57991,1148
23,"Health/Medicine",5075,12595,764
23,"Society/Organizations",3480,403828,2558
23,"Arts/Design",3026,32782,710
23,"Recreation/Food",2549,73258,1840
23,"Health/Conditions and Diseases",1127,12199,889
23,"Society/Subcultures",965,33600,786
23,"Health",588,15743,765
23,"Business/Biotechnology and Pharmaceuticals",306,666,74
23,"Sports/Skating",94,676,57
23,"Sports/Winter Sports",85,2353,216
22,"Games/Game Studies",20566,77998,94
22,"Science/Social Sciences",4723,71734,2795
22,"Society",3049,59989,2035
22,"Sports/Football",2179,79782,907
22,"Reference/Libraries",2154,35002,1217
22,"Science/Biology",1598,31870,1045
22,"Computers/Internet/News and Media",1173,3857,181
22,"Computers/Software/Freeware",797,15588,484
22,"Reference/Museums",700,37391,1014
22,"Science/Science in Society",687,11054,348
22,"Arts/Weblogs",355,12038,151
22,"Computers/Open Source",352,22437,687
22,"Reference/Dictionaries",241,14561,346
22,"Health/Reproductive Health",236,2900,180
