"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
48,"Shopping/Entertainment",1442,13760,188
46,"Arts/Television",36069,371374,1263
43,"Arts/Movies",109975,528627,1901
37,"Arts/Music",9574,438195,3319
34,"Arts/Animation",8488,374201,1081
32,"Arts/Performing Arts",4256,511907,1100
32,"Business/Telecommunications",1142,52942,526
32,"Shopping",463,23653,400
31,"Business/Arts and Entertainment",1169,42024,833
31,"Society/History",979,274158,610
30,"Shopping/General Merchandise",1290,12145,72
30,"Sports/Cricket",33,157,39
29,"Arts/Comics",6189,149112,594
29,"Society/Religion and Spirituality",4512,166184,2271
28,"Arts",12429,558150,1368
28,"News/Magazines and E-zines",2818,52966,853
28,"Arts/People",665,12660,255
28,"Arts/Design",266,96499,334
28,"Shopping/Sports",124,381,64
27,"Regional/Europe",45562,1027317,5175
27,"Computers/Internet/On the Web",7189,244372,1660
26,"Society/People",25357,286083,3062
26,"Arts/Literature",4811,202716,1638
26,"Business",4765,661636,3790
26,"Computers/Internet",1953,234461,1252
26,"Science/Social Sciences",1864,87157,1537
26,"News/Newspapers",1276,84131,1285
26,"Games/Video Games/News and Reviews",693,53778,268
26,"Computers/Internet/Access Providers",477,41913,253
26,"Regional/South America",232,206898,449
26,"Games/Video Games/Developers and Publishers",204,33470,146
26,"Business/Transportation and Logistics",159,70213,972
26,"Society/Folklore",118,5130,112
25,"Reference/Education",5501,571580,3417
25,"Computers/News and Media",2673,134552,682
25,"Recreation/Autos",1943,275383,1383
25,"Society",855,302479,1336
25,"Society/Gay  Lesbian  and Bisexual",847,234125,412
25,"Computers/Hardware",625,28844,648
25,"Recreation/Outdoors",442,9004,459
25,"Recreation/Radio",430,42189,484
25,"Sports/Resources",213,7136,234
25,"Arts/Entertainment",159,23825,146
25,"Sports/Hockey",90,482,86
25,"Games/Hand-Eye Coordination",2,1,1
24,"News/Media Industry",7242,144863,2524
24,"Computers/Internet/Web Design and Development",6934,62997,1467
24,"Home/Consumer Information",3092,257195,447
24,"News/Directories",1539,12234,540
24,"Society/Politics",1448,355419,1906
24,"Business/Energy",951,128272,414
24,"Society/Law",946,22707,779
24,"Business/Automotive",327,9666,330
24,"Computers/Internet/Organizations",53,2017,57
24,"Computers/Software/Databases",41,602,72
24,"Computers/Programming/Internet",38,1841,113
23,"Sports/Soccer",15903,135035,940
23,"Recreation/Travel",8775,880013,4708
23,"News/Breaking News",2722,31646,157
23,"Sports/Winter Sports",781,3474,148
23,"Recreation/Humor",723,117488,356
23,"Science/Science in Society",70,31676,159
22,"Computers/Mobile Computing",380,8725,172
22,"Business/Consumer Goods and Services",313,88381,608
22,"News/Colleges and Universities",15,1150,87
22,"Computers/Consultants",12,276,67
21,"Computers/Internet/Searching",5906,175979,1127
21,"Business/Marketing and Advertising",3361,20177,700
21,"Recreation/Food",2643,269092,919
21,"Business/Investing",2126,45899,340
21,"Arts/Photography",970,15464,443
21,"Society/Genealogy",395,42111,97
21,"Arts/Radio",334,37947,732
21,"Arts/Online Writing",331,54384,373
21,"Computers/Programming/Languages",320,73972,924
21,"Reference/Museums",311,48759,601
21,"Society/Ethnicity",262,4850,296
21,"Business/Food and Related Products",176,35241,606
21,"Computers/Internet/Chat",30,2054,84
21,"Shopping/Gifts",12,203,49
20,"Business/Opportunities",8144,15960,126
20,"Business/Publishing and Printing",6914,61916,510
20,"Computers/Software/Operating Systems",3201,408307,1134
20,"Business/Financial Services",822,248669,893
20,"Reference/Libraries",196,11160,434
19,"Health/Fitness",2319,27474,84
19,"Home/Cooking",1861,79918,557
19,"Adult/World",1165,210325,858
19,"Arts/Writers Resources",850,48413,205
19,"Sports/Motorsports",794,14294,207
19,"Regional/North America",518,33503,1164
19,"Computers/Software/Freeware",258,5271,293
19,"Sports/Football",233,303221,449
19,"Home/Personal Finance",175,942,131
19,"Games/Video Games/Cheats and Hints",148,187,16
19,"Business/Education and Training",6,8974,37
18,"Science/Technology",4073,29667,560
18,"Computers/Systems",1880,14865,484
18,"Society/Issues",1288,317338,1618
18,"Business/Small Business",787,13930,190
18,"Recreation",725,30301,594
18,"Computers/Multimedia",275,11584,332
18,"Adult/Arts",135,23721,60
18,"Computers/Software/Desktop Customization",90,849,91
18,"Computers/Internet/Commercial Services",65,877,15
18,"Computers/FAQs  Help  and Tutorials",42,1776,40
18,"Games/Video Games/Computer Platforms",36,7585,68
18,"Computers/Software/Industry-Specific",5,277,42
17,"Computers/Internet/Resources",2254,11666,19
17,"Computers/Internet/News and Media",1037,3530,97
17,"Games/Video Games/Roleplaying",569,81330,311
17,"Society/Government",452,70200,1364
17,"Home",213,23925,99
17,"Health/Mental Health",148,14726,263
17,"Computers/Data Formats",127,206458,311
17,"Science/Physics",95,218158,257
17,"Reference/Dictionaries",90,17748,154
17,"Science/Anomalies and Alternative Science",10,338,45
17,"Sports/Strength Sports",6,237,26
17,"Sports/Volleyball",4,542,20
17,"Computers/Software/Data Compression",1,49,10
16,"Society/Relationships",59743,112309,456
16,"Recreation/Motorcycles",6069,190489,933
16,"Business/Biotechnology and Pharmaceuticals",1892,40516,56
16,"Recreation/Pets",1519,603998,1736
16,"World/Italiano",790,31339,451
16,"Business/Resources",444,4571,75
16,"Business/Healthcare",119,1171,171
16,"Shopping/Classifieds",109,8586,96
16,"Science/Earth Sciences",105,2149,244
16,"Sports/Baseball",90,13808,153
16,"Shopping/Health",39,210339,125
16,"Business/Electronics and Electrical",38,3557,238
16,"Computers/Internet/Cybercafes",34,50,5
16,"Computers/Virtual Reality",13,617,47
16,"Society/Activism",8,1123,202
16,"Shopping/Music",5,195,37
16,"Computers/Programming",4,140,19
15,"Health/Reproductive Health",1035,34838,149
15,"Arts/Visual Arts",765,148745,680
15,"Business/Real Estate",626,80390,811
15,"Health",518,25200,574
15,"Science/Environment",500,52549,724
15,"News",395,26538,539
15,"Computers/Chats and Forums",189,1404,123
15,"Arts/Magazines and E-zines",177,7729,124
15,"Society/Paranormal",35,2100,196
15,"News/Alternative",29,7248,106
15,"Computers/Software/Directories",21,25284,108
