"Position","Title","Domain","Ref Domains","Alexa Rank","Matches","Matched Links","External Referring URLs","Indexed URLs","Crawled URLs","First Crawled","Last Successful Crawl","IP","SubNet","Country Code","TLD","Trust Flow","Citation Flow","Topical Trust Flow Topic 0","Topical Trust Flow Value 0","Topical Trust Flow Topic 1","Topical Trust Flow Value 1","Topical Trust Flow Topic 2","Topical Trust Flow Value 2","Topical Trust Flow Topic 3","Topical Trust Flow Value 3","Topical Trust Flow Topic 4","Topical Trust Flow Value 4","Topical Trust Flow Topic 5","Topical Trust Flow Value 5","Topical Trust Flow Topic 6","Topical Trust Flow Value 6","Topical Trust Flow Topic 7","Topical Trust Flow Value 7","Topical Trust Flow Topic 8","Topical Trust Flow Value 8","Topical Trust Flow Topic 9","Topical Trust Flow Value 9","Links Per Crawled Url","Outlink Checked Pages","Average Internal Outlinks Per Page","Average External Outlinks Per Page","Average Total Outlinks Per Page","Average External Domains Per Page","Domain Language 0","Domain Language Page Ratio 0","Domain Language 1","Domain Language Page Ratio 1","Domain Language 2","Domain Language Page Ratio 2","Total Inbound Links","Supplemental","Live","Lost","From Deep Links","From Homepages","Direct","Indirect","Follow","NoFollow","HTTP","HTTPS","Redirect","Text Link","Image Link","Frame","In Bucket"
1,"موقع كل الناس - اخبار دالية الكرمل واخبار عسفيا وااخبار المجتمع العربي","kolanas.co.il",12,-1,0,207340,7101,486069,218498,24/10/2024,18/02/2025,"188.114.97.1","188.114.97.0","US","il",6,14,"Society/Organizations",6,"Society/Issues",5,,0,,0,,0,,0,,0,,0,,0,,0,0.95,214059,57,93,150,90,"ar",96.8,"en",3.1,,,207340,0,207080,260,207336,4,207340,0,207340,0,206331,1009,0,0,207340,0,
2,"WWE News, Results, Photos & Video - Official Site | WWE","wwe.com",24806,9590,0,27649,4757599,249727,81487,22/10/2024,14/01/2025,"54.236.192.188","54.236.192.0","US","com",72,63,"Sports/Wrestling",72,"Society/Ethnicity",42,"Sports",31,"News/Journalism",21,"Games/Video Games/Developers and Publishers",21,,0,,0,,0,,0,,0,0.34,68750,24,5,29,4,"en",95.9,"ar",3.9,,,27652,3,20426,7226,27647,5,27651,1,27652,0,0,27652,1,26820,831,0,
3,"Homepage - Arab Australia","arabaustralia.com.au",10,-1,0,8329,21,22585,22271,23/10/2024,18/02/2025,"160.153.0.50","160.153.0.0","US","au",0,18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.37,10310,24,6,30,6,"en",98.4,"ar",1.5,,,8330,1,8317,13,8329,1,8329,1,8330,0,0,8330,0,1,8329,0,
4,"Sprinklr / Internal Server Error","onshahid.net",31,-1,0,5493,1610,7305,7256,06/11/2024,18/02/2025,"54.236.70.234","54.236.70.0","US","net",0,24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.76,6694,0,0,0,0,"en",100.0,,,,,5757,264,5327,430,5757,0,5468,289,5757,0,5757,0,2927,2830,0,0,
5,"Home - Moustafa Elfeki","moustafaelfeki.org",1,-1,0,3968,1,16180,12795,23/12/2024,23/12/2024,"196.204.161.201","196.204.161.0","EG","org",0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.31,12790,20,3,23,3,"ar",69.9,"en",30.0,,,3968,0,3968,0,3968,0,3968,0,3968,0,3968,0,0,3968,0,0,
6,"Home - Moustafa Elfeki","moustafaelfeki.com",47,-1,0,3595,273,49823,44363,12/11/2024,01/01/2025,"196.204.161.201","196.204.161.0","EG","com",0,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.08,43378,29,3,32,3,"ar",58.1,"en",41.8,,,3595,0,3584,11,3595,0,3595,0,3595,0,3595,0,0,3595,0,0,
7,"*** LJs LiveOnSat Football / Soccer Schedules on TV","liveonsat.com",909,75780,0,3267,57972,14482,13847,23/10/2024,18/02/2025,"35.246.81.48","35.246.81.0","US","com",18,42,"Society/People",17,"Sports/Soccer",16,"World/Italiano",15,"Sports/Resources",11,"Science/Social Sciences",8,"Arts/Television",8,,0,,0,,0,,0,0.24,10461,77,17,94,16,"en",99.8,,,,,3267,0,0,3267,3267,0,3267,0,3267,0,0,3267,0,3267,0,0,
8,"Go Arab","goarab.com",9,-1,0,2949,10,5893,2963,24/10/2024,17/02/2025,"148.66.136.9","148.66.136.0","SG","com",0,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,2941,5,327,332,297,"ar",100.0,,,,,2949,0,2940,9,2945,4,2949,0,2949,0,2943,6,0,0,2949,0,
9,"بوابة مصر 2030","msr2030.com",285,858065,0,2929,247379,520203,452586,22/10/2024,18/02/2025,"104.21.78.90","104.21.78.0","US","com",19,39,"News/Newspapers",19,"News/Media Industry",11,"News/Directories",10,,0,,0,,0,,0,,0,,0,,0,0.01,440071,69,126,195,54,"ar",99.9,,,,,3555,626,3541,14,3555,0,3555,0,3555,0,0,3555,0,3555,0,0,
10,"شاهد | أحدث المسلسلات العربية والأفلام والرياضة والمزيد","shahid.net",562,488502,0,2797,2357,7114,7055,24/10/2024,25/01/2025,"52.5.226.219","52.5.226.0","US","net",8,23,"Computers/Internet",8,"Sports/Equestrian",6,"Computers/Internet/Routers and Routing",4,"Business",3,"Society/Issues",3,"Computers/Internet/Protocols",3,"Society/Organizations",3,"Arts/Music",3,"Computers/Internet/Access Providers",3,"Business/Telecommunications",3,0.4,0,0,0,,0,,,,,,,2797,0,2530,267,2785,12,2797,0,2797,0,2744,53,1992,805,0,0,
11,"مسلسلات - Mosalsalat","mosals.com",3,-1,0,1317,7,252919,251514,13/11/2024,17/02/2025,"104.21.44.183","104.21.44.0","US","com",0,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.01,246962,35,5,40,4,"ar",100.0,,,,,1317,0,1317,0,1317,0,1317,0,1317,0,0,1317,0,0,0,1317,
12,"Sprinklr / Internal Server Error","onmbc.net",25,-1,0,1111,444,16465,16449,27/10/2024,18/02/2025,"107.23.241.99","107.23.241.0","US","net",0,22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.07,12361,0,0,0,0,"en",100.0,,,,,1366,255,1201,165,1366,0,1097,269,1366,0,1366,0,700,666,0,0,
13,"شاشة | أفلام وبرامج تلفزيونية | تقييمات","shashah.com",6,-1,0,576,6,9717,9707,22/10/2024,25/01/2025,"104.21.22.58","104.21.22.0","US","com",0,17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.06,7473,13,3,16,2,"ar",68.1,"en",31.7,"da",0.1,1152,576,1020,132,1152,0,1152,0,1152,0,0,1152,0,576,576,0,
14,"Desi Play TV - Watch Hindi Desi Tv Serials Online for Free","desiplaytv.com",62,-1,0,506,248,881,822,25/10/2024,18/02/2025,"13.213.205.104","13.213.205.0","US","com",2,25,"Home/Cooking",2,"Recreation/Pets",2,"Business/Energy",2,"Regional/Europe",2,,0,,0,,0,,0,,0,,0,0.62,537,48,11,59,8,"en",100.0,,,,,1018,512,881,137,1015,3,1018,0,1018,0,0,1018,0,511,507,0,
15,"MyAnimeList.net - Anime and Manga Database and Community","myanimelist.net",32637,293,0,463,39721342,3958468,182808,22/10/2024,18/02/2025,"3.162.20.129","3.162.20.0","US","net",34,68,"Arts/Animation",32,"Arts/Comics",28,"Computers/Robotics",24,"Computers/Software/Operating Systems",22,"Computers/Multimedia",19,"Arts",18,"Business/Real Estate",18,"Home/Gardening",18,"Science/Earth Sciences",17,"Business/Construction and Maintenance",16,0.0,171092,95,10,105,7,"en",96.3,"da",1.4,"vi",1.3,901,438,901,0,901,0,901,0,866,35,0,901,0,468,433,0,
16,"The Arabic Student","thearabicstudent.com",84,-1,0,451,547,4797,1258,22/10/2024,18/02/2025,"142.250.185.211","142.250.185.0","US","com",11,23,"Science/Social Sciences",11,"Reference/Education",6,"Society/Issues",6,,0,,0,,0,,0,,0,,0,,0,0.36,670,79,44,123,15,"en",66.4,"ar",33.4,"fr",0.1,451,0,451,0,450,1,451,0,451,0,451,0,0,451,0,0,
17,,"interdc.net",14,-1,0,379,14,731,667,11/12/2024,11/12/2024,"212.29.210.124","212.29.210.0","IL","net",0,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.57,378,39,97,136,94,"ar",100.0,,,,,379,0,378,1,378,1,379,0,379,0,379,0,0,0,379,0,
18,"كشمش – عالم مدهش","kshmsh.com",45,678474,0,361,520,23935,7423,24/10/2024,10/02/2025,"64.20.39.54","64.20.39.0","US","com",0,19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.05,5661,72,3,75,3,"ar",94.1,"en",5.6,,,361,0,360,1,359,2,361,0,361,0,1,360,0,361,0,0,
