"Position","Title","Domain","Ref Domains","Alexa Rank","Matches","Matched Links","External Referring URLs","Indexed URLs","Crawled URLs","First Crawled","Last Successful Crawl","IP","SubNet","Country Code","TLD","Trust Flow","Citation Flow","Topical Trust Flow Topic 0","Topical Trust Flow Value 0","Topical Trust Flow Topic 1","Topical Trust Flow Value 1","Topical Trust Flow Topic 2","Topical Trust Flow Value 2","Topical Trust Flow Topic 3","Topical Trust Flow Value 3","Topical Trust Flow Topic 4","Topical Trust Flow Value 4","Topical Trust Flow Topic 5","Topical Trust Flow Value 5","Topical Trust Flow Topic 6","Topical Trust Flow Value 6","Topical Trust Flow Topic 7","Topical Trust Flow Value 7","Topical Trust Flow Topic 8","Topical Trust Flow Value 8","Topical Trust Flow Topic 9","Topical Trust Flow Value 9","Links Per Crawled Url","Outlink Checked Pages","Average Internal Outlinks Per Page","Average External Outlinks Per Page","Average Total Outlinks Per Page","Average External Domains Per Page","Domain Language 0","Domain Language Page Ratio 0","Domain Language 1","Domain Language Page Ratio 1","Domain Language 2","Domain Language Page Ratio 2","Total Inbound Links","Supplemental","Live","Lost","From Deep Links","From Homepages","Direct","Indirect","Follow","NoFollow","HTTP","HTTPS","Redirect","Text Link","Image Link","Frame","In Bucket"
1,"Senaste nyheterna inom Svensk fotboll - FotbollDirekt","fotbolldirekt.se",1684,337111,0,41989,288737,160240,108888,22/10/2024,18/02/2025,"62.116.130.8","62.116.130.0","DE","se",16,55,"Sports/Soccer",15,"Society/Government",14,"News/Newspapers",13,"Regional/Europe",11,"Society/People",10,"Games/Gambling",9,"Society/Ethnicity",9,"Computers/Programming/Languages",9,"Reference/Dictionaries",9,"Science/Social Sciences",8,0.39,93229,30,3,33,2,"sv",99.9,,,,,41989,0,1817,40172,41926,63,41989,0,41989,0,0,41989,0,0,0,41989,
2,"Campo.dk ⚽ | Fodboldnyheder, stillinger, resultater & TV-guide!","campo.dk",532,849178,0,35827,1973,109001,102745,22/10/2024,18/02/2025,"82.163.160.149","82.163.160.0","DK","dk",15,38,"Arts/Television",15,"Sports/Resources",6,,0,,0,,0,,0,,0,,0,,0,,0,0.35,101441,62,0,62,0,"da",98.7,"en",1.0,,,35827,0,35784,43,35814,13,35827,0,35827,0,0,35827,0,0,0,35827,
3,,"verstappen.com",2176,540951,0,17066,670995,166864,158860,22/10/2024,18/02/2025,"172.67.21.133","172.67.21.0","US","com",53,43,"Sports/Motorsports",53,"Society/Paranormal",16,,0,,0,,0,,0,,0,,0,,0,,0,0.11,143925,35,5,40,5,"nl",56.4,"en",43.5,,,17066,0,17040,26,17065,1,17066,0,17066,0,0,17066,0,175,16891,0,
4,,"viafree.fi",95,-1,0,12385,2079,17418,17097,22/10/2024,,"13.224.81.120","13.224.81.0","US","fi",9,24,"Computers/Internet/Searching",9,"Sports/Skating",7,"Reference/Education",5,"Reference/Libraries",4,,0,,0,,0,,0,,0,,0,0.72,15387,0,1,1,1,,,,,,,12385,0,12290,95,12385,0,12385,0,12385,0,0,12385,12384,1,0,0,
5,"Free Movies & TV Shows - Pluto TV","viafree.no",176,-1,0,11810,5249,22930,22813,23/10/2024,,"13.224.81.116","13.224.81.0","US","no",10,23,"Arts/Radio",10,"Home/Consumer Information",8,"Sports/Track and Field",7,"News/Magazines and E-zines",6,"Society/Issues",5,"Society/Politics",5,"Sports/Team Handball",4,"Arts/Movies",4,"Science/Social Sciences",4,"Shopping",4,0.52,21714,0,1,1,1,,,,,,,11810,0,11809,1,11810,0,11810,0,11810,0,0,11810,11810,0,0,0,
6,"Hockeysverige – Sveriges största nyhetssajt om hockey","hockeysverige.se",1753,396311,0,10337,424508,402254,376849,22/10/2024,18/02/2025,"172.67.202.66","172.67.202.0","US","se",12,60,"Sports/Hockey",11,"News/Newspapers",10,"Computers/Computer Science/Academic Departments",10,"Computers/Computer Science/Conferences",9,"Sports",8,"Sports/Soccer",8,"Society/Religion and Spirituality",8,"Sports/Resources",8,"Recreation/Pets",7,"Society/History",7,0.03,290576,19,4,23,3,"sv",99.9,,,,,10337,0,9905,432,10179,158,10337,0,10337,0,0,10337,0,3,0,10334,
7,,"viaplay.dk",1133,-1,0,7965,470479,93066,85342,23/10/2024,04/02/2025,"18.172.89.76","18.172.89.0","US","dk",25,39,"Sports/Soccer",25,"Computers/Programming/Internet",17,"Business/Marketing and Advertising",17,"Arts",16,"Computers/Internet/On the Web",15,"Home/Consumer Information",14,"Business/Telecommunications",14,"News/Media Industry",13,"Society/Religion and Spirituality",13,"Arts/Television",13,0.09,43884,0,0,0,0,"da",100.0,,,,,7965,0,7963,2,7962,3,7965,0,7965,0,2635,5330,632,7329,4,0,
8,,"viaplay.no",937,25187,0,7591,153980,57129,39124,22/10/2024,25/01/2025,"3.164.68.68","3.164.68.0","US","no",20,32,"Computers/Internet/On the Web",18,"Sports/Soccer",18,"Sports/Team Handball",17,"Arts/Movies",17,"Games/Gambling",14,"Business/Telecommunications",14,"Home/Family",13,"Society/Religion and Spirituality",13,"Arts/Television",12,"Games/Online",11,0.19,22061,0,0,0,0,"no",100.0,,,,,7591,0,7589,2,7589,2,7591,0,7591,0,2561,5030,548,7040,3,0,
9,"DataDriveSports.com Business - Sports Betting Driven by Data!- DataDriveSports","datadrivesports.com",49,-1,0,7194,2318,414121,408019,22/10/2024,18/02/2025,"104.21.48.1","104.21.48.0","US","com",0,38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.02,401048,168,13,181,11,"en",99.9,,,,,7204,10,7192,12,7204,0,6192,1012,7204,0,0,7204,0,7204,0,0,
10,"Nyheter från Sveriges största nyhetssajt","aftonbladet.se",31036,1971,0,6004,6394707,1070731,316023,22/10/2024,18/02/2025,"52.223.48.227","52.223.48.0","US","se",69,64,"News/Newspapers",67,"Sports/Resources",45,"Sports/Hockey",40,"Recreation/Autos",39,"Health/News and Media",34,"Home/Personal Finance",32,"Arts/Music",28,"Arts/Literature",27,"Arts/Radio",25,"Regional/Europe",25,0.02,287037,20,0,20,0,"sv",95.0,"en",4.9,,,6004,0,1729,4275,6004,0,6004,0,6004,0,0,6004,0,0,0,6004,
