"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
38,"Sports/Motorsports",275,19173,39
36,"Sports",1140,15680,20
32,"News/Newspapers",4097,61882,90
28,"Regional/Europe",907,60431,458
27,"Sports/Resources",4760,61527,66
27,"Sports/Soccer",1597,86023,251
26,"Business/Telecommunications",36,18626,57
25,"Arts/Television",4029,59592,107
25,"Arts/Radio",29,21435,41
25,"Computers/Internet/Access Providers",25,1930,22
23,"Sports/Hockey",3845,22613,36
23,"Computers/Internet",23,2177,78
21,"Recreation/Theme Parks",138,1209,5
19,"Recreation/Pets",1063,14832,153
19,"Home",4,583,7
18,"Sports/Darts",254,1441,10
18,"Recreation/Humor",39,527,42
18,"Home/Consumer Information",15,19957,43
17,"News/Media Industry",327,8709,91
17,"Games/Gambling",208,52144,27
17,"Computers/Internet/On the Web",191,19301,112
17,"Society/Law",72,344,33
17,"Sports/Martial Arts",51,6280,42
17,"Business/Hospitality",5,170,18
16,"Arts/Movies",623,22659,129
16,"Society/Politics",34,16709,85
15,"Computers/Internet/Searching",174,18584,140
15,"Society/Religion and Spirituality",29,30267,138
15,"Arts/Entertainment",22,65,16
15,"Shopping/Publications",10,50,12
15,"Business/Arts and Entertainment",9,541,50
14,"Recreation/Autos",210,13328,110
14,"Arts/Music",70,14954,208
14,"Sports/Team Handball",40,20450,9
14,"Arts/Comics",8,477,16
14,"Society/Activism",1,49,13
13,"Arts",82,9521,56
13,"Health/Dentistry",28,32,9
13,"Recreation/Outdoors",6,142,28
13,"Computers/Organizations",4,598,12
13,"News/Colleges and Universities",1,4,3
12,"Computers/Programming/Languages",208,42616,51
12,"Computers/Internet/Web Design and Development",93,761,107
12,"Regional",83,87,9
12,"Sports/Cue Sports",66,116,15
12,"Reference/Education",52,19179,123
12,"Computers/News and Media",50,528,41
12,"Sports/Golf",16,4490,23
12,"Science/Social Sciences",7,59718,112
11,"Computers/Software/Freeware",20,119,18
11,"Shopping/Clothing",10,42,12
11,"Sports/Cycling",9,41,17
11,"Sports/Water Sports",8,137,13
11,"Computers/Data Communications",2,12,9
10,"Recreation",140,2657,42
10,"Business/Business Services",50,255,83
10,"Sports/Boxing",18,1499,14
10,"Shopping/Consumer Electronics",16,36,15
10,"Arts/Literature",15,11835,126
10,"Business/Publishing and Printing",10,678,42
10,"World/Deutsch",4,23,9
10,"Business/Opportunities",2,75,14
10,"Shopping/Directories",2,3,3
10,"Shopping/Recreation",2,72,9
10,"Sports/Petanque",1,22,4
9,"Recreation/Travel",288,12106,390
9,"Society/People",182,52595,124
9,"Arts/Animation",99,7262,47
9,"Computers/Companies",12,72,22
9,"Science/Technology",9,97,34
9,"Health/Alternative",7,915,24
9,"Business/Transportation and Logistics",7,612,97
9,"Society/History",6,10860,36
9,"Health/Mental Health",6,36,17
9,"Business/E-Commerce",5,250,2
9,"Computers/Consultants",1,11,5
9,"Games/Video Games/Computer Platforms",1,29,4
8,"Business/Management",42,55,13
8,"News/Magazines and E-zines",24,12019,43
8,"News",22,1820,36
8,"Recreation/Boating",5,109,25
8,"Business/Healthcare",1,33,11
7,"Society/Issues",164,12101,81
7,"Health/Fitness",133,617,7
7,"Business/Education and Training",56,277,14
7,"Society",35,362,47
7,"Sports/Basketball",6,312,14
7,"World/Italiano",4,55,8
7,"Computers/Internet/Organizations",3,530,7
7,"World/Polski",2,14,5
6,"Games/Online",215,10126,14
6,"Society/Organizations",87,6138,77
6,"Health/News and Media",21,6015,5
6,"Computers/Software/Operating Systems",17,288,61
6,"News/Breaking News",16,532,28
6,"Home/Gardening",13,96,29
6,"Games/Video Games/Shooter",6,43,11
6,"Arts/Visual Arts",4,1398,39
6,"Computers/Programming",3,80,2
6,"Society/Holidays",1,52,7
5,"Society/Government",255,43705,62
5,"Regional/Middle East",202,48,8
5,"Business/Textiles and Nonwovens",47,6012,19
5,"News/Journalism",35,4169,37
5,"Computers/Security",22,3088,38
5,"Computers/Systems",14,422,28
5,"Home/Personal Finance",13,6277,10
5,"Reference/Museums",12,880,82
5,"Science/Earth Sciences",10,957,20
5,"Society/Lifestyle Choices",7,4,3
5,"Business/Investing",5,659,19
5,"Games/Video Games",1,11,6
4,"Arts/Performing Arts",90,5162,60
4,"Sports/Football",75,1224,148
4,"Computers/Software/Internet",31,408,57
4,"Society/Relationships",19,163,44
4,"Recreation/Food",15,2996,91
4,"Sports/Wrestling",15,324,23
4,"Society/Gay  Lesbian  and Bisexual",13,171,19
4,"Games/Board Games",10,72,17
4,"Sports/Bowling",6,425,3
4,"Computers/Data Formats",4,2479,26
4,"Sports/Fantasy",3,32,5
4,"Computers/Education",3,52,6
4,"Business/Marketing and Advertising",2,10360,50
3,"Sports/Equestrian",169,1548,37
