"Source URL","Source Title","Anchor Text","Source Trust Flow","Source Citation Flow","Source Language","Source Language Description","Source Language Confidence","Site Twitter Handle","Page Author Twitter Handle","Source Internal OutLinks","Source External OutLinks","Source Total Outlinks","Source External OutDomains","Domain","Domain Trust Flow","Domain Citation Flow","Link First Indexed Date","Link Type","Link Subtype","Target URL","Target Trust Flow","Target Citation Flow","Indirect Target Url","Indirect Target Type","Is Redirect","Is Frame","Is NoFollow","Is Image","Is Lost","Is AltText","Is Mention","Link Last Seen Date","Link Lost Date","Link Lost Crawl Result","Source Topical Trust Flow Topic 0","Source Topical Trust Flow Value 0","Source Topical Trust Flow Topic 1","Source Topical Trust Flow Value 1","Source Topical Trust Flow Topic 2","Source Topical Trust Flow Value 2","Domain Topical Trust Flow Topic 0","Domain Topical Trust Flow Value 0","Domain Topical Trust Flow Topic 1","Domain Topical Trust Flow Value 1","Domain Topical Trust Flow Topic 2","Domain Topical Trust Flow Value 2","Domain Topical Trust Flow Topic 3","Domain Topical Trust Flow Value 3","Domain Topical Trust Flow Topic 4","Domain Topical Trust Flow Value 4","Domain Topical Trust Flow Topic 5","Domain Topical Trust Flow Value 5","Domain Topical Trust Flow Topic 6","Domain Topical Trust Flow Value 6","Domain Topical Trust Flow Topic 7","Domain Topical Trust Flow Value 7","Domain Topical Trust Flow Topic 8","Domain Topical Trust Flow Value 8","Domain Topical Trust Flow Topic 9","Domain Topical Trust Flow Value 9","Target Topical Trust Flow Topic 0","Target Topical Trust Flow Value 0","In Bucket","Duplication Classification"
"https://www.fdb.cz/","Filmy, seriály, herci, recenze filmů - Filmová databáze online FDb.cz","sledujte filmy 7 dní zdarma online",54,50,"cs","Czech",99,,,168,14,182,9,fdb.cz,36,53,22/03/2023 00:00,"TextLink","TextLink_Normal","https://voyo.nova.cz/filmy-online-zdarma?utm_source=dognet&utm_medium=affiliate&utm_campaign=63b6c9178568d&a_aid=63b6c9178568d&a_bid=084ccf77&chan=FDB_HP",18,38,,,0,0,1,0,0,0,0,18/02/2025 00:00,,,"Arts/Movies",54,"Computers/Internet/Web Design and Development",24,"Arts/Music",19,"Arts/Movies",36,"Arts/Music",21,"Computers/Internet/Searching",18,"Computers/Internet/Web Design and Development",17,"Reference/Education",17,"Business/Arts and Entertainment",14,"Recreation/Pets",13,"Regional/Europe",13,"Shopping/Classifieds",13,,,"Arts/Music",18,,"Distinct"
"https://tvprogram.idnes.cz/","TV program pro více než 100 TV stanic na 14 dní dopředu.",,51,50,"cs","Czech",99,,,636,15,651,7,idnes.cz,74,73,01/01/2025 00:00,"ImageLink","ImageLink_Normal","https://voyo.nova.cz/ordinace?utm_source=idnes&utm_medium=display&utm_campaign=ulice&utm_content=05-banner143x95",26,28,,,0,0,0,1,0,0,0,18/02/2025 00:00,,,"Arts/Television",43,"News",42,"News/Newspapers",40,"News",65,"News/Newspapers",50,"Computers/Hardware",48,"News/Weather",48,"Games/Video Games/Computer Platforms",46,"Sports/Soccer",46,"Home/Consumer Information",43,"Sports/Resources",43,"Society/People",41,"Recreation/Autos",41,"Arts/Television",23,,"Distinct"
"https://tlapky.blesk.cz/","Blesk Tlapky 2025",,44,54,"cs","Czech",99,,,7,274,281,35,blesk.cz,44,62,25/04/2024 00:00,"ImageLink","ImageLink_Normal","https://voyo.nova.cz/",42,49,,,0,0,0,1,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"DownloadedSuccessfully","Computers/News and Media",37,"Computers/Mobile Computing",35,"Society/People",33,"News/Newspapers",34,"Computers/News and Media",33,"Home/Cooking",31,"Computers/Mobile Computing",31,"Society/People",29,"Recreation/Autos",28,"Games/Video Games/News and Reviews",28,"Arts/Television",28,"Sports/Motorsports",25,"News/Media Industry",25,"Arts/Television",39,,"Distinct"
"https://avmania.zive.cz/nejoblibenejsi-filmy-a-serialy-na-netflixu","Netflix a 30 nejoblíbenějších filmů a seriálů v prosinci 2024. Třeba Monstra, Zahradník, Vlkodlaci a samozřejmě Arcane – AVmania.cz","voyo",43,54,"cs","Czech",94,,,125,191,316,28,zive.cz,58,67,07/11/2024 00:00,"TextLink","TextLink_Normal","https://voyo.nova.cz/registrace-step/uzivatel?utm_source=dognet&utm_medium=affiliate&utm_campaign=63fcf73ec9375&a_aid=63fcf73ec9375&a_bid=084ccf77&data1=link&data2=zivot-pro-samouky",12,10,,,0,0,0,0,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"DownloadedSuccessfully","Computers/News and Media",36,"Computers/Mobile Computing",34,"Society/People",33,"Computers/News and Media",50,"Computers/Mobile Computing",47,"Games/Video Games/News and Reviews",41,"Computers/Graphics",33,"Recreation/Outdoors",33,"Games/Video Games/Computer Platforms",33,"Computers/Software/Networking",32,"Home/Consumer Information",30,"Home/Cooking",30,"Society/People",28,"Computers/News and Media",10,,"Distinct"
"https://www.nhl.cz/","NHL.CZ","nova sport",50,39,"cs","Czech",95,,,190,23,213,14,nhl.cz,42,47,19/03/2024 00:00,"ImageLink","ImageLink_Normal","https://voyo.nova.cz/titul/2944-nhl?utm_source=nhlcz&utm_medium=display&utm_campaign=voyo_2024_01_nhl&utm_content=rozpis_loga",0,0,,,0,0,0,1,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"DownloadedSuccessfully","Sports/Hockey",50,,,,,"Sports/Hockey",42,"Computers/Internet/Web Design and Development",17,,,,,,,,,,,,,,,,,,,,"Distinct"
"https://talents.kviff.com/","KVIFF TALENTS",,43,39,"cs","Czech",95,@kviff,,52,4,56,2,kviff.com,54,47,24/02/2024 00:00,"ImageLink","ImageLink_Normal","https://voyo.nova.cz/",42,49,,,0,0,1,1,0,0,0,18/02/2025 00:00,,,"Arts/Movies",43,"Recreation/Travel",25,"Computers/Software/Graphics",16,"Arts/Movies",54,"Recreation/Travel",27,"Regional/Europe",18,"Society/People",17,"Computers/Software/Graphics",17,"Arts/Music",16,,,,,,,,,"Arts/Television",39,,"Distinct"
"https://zbl.basketball/","ŽBL.BASKETBALL","voyo",33,42,"cs","Czech",99,,,120,62,182,16,zbl.basketball,23,41,28/02/2024 00:00,"ImageLink","ImageLink_Normal","https://voyo.nova.cz/",42,49,,,0,0,0,1,0,0,0,18/02/2025 00:00,,,"Sports/Basketball",33,"Sports/Organizations",14,,,"Sports/Basketball",23,"Sports/Organizations",9,,,,,,,,,,,,,,,,,"Arts/Television",39,,"Distinct"
"https://www.autorevue.cz/svet-motoru-tv","Svět motorů TV – AutoRevue.cz","voyo",32,41,"cs","Czech",99,,,82,70,152,15,autorevue.cz,40,53,08/02/2023 00:00,"TextLink","TextLink_Normal","https://voyo.nova.cz/",42,49,,,0,0,0,0,0,0,0,10/02/2025 00:00,,,"Recreation/Autos",32,"Home/Cooking",21,"Business/Automotive",15,"Recreation/Autos",40,"Home/Cooking",24,"Business/Automotive",18,"Computers/News and Media",18,"Computers/Mobile Computing",18,"Shopping/Classifieds",17,"Recreation/Humor",17,"Computers/Internet/Web Design and Development",17,"Computers/Internet/On the Web",17,"Games/Video Games/News and Reviews",16,"Arts/Television",39,,"Distinct"
"https://www.edna.cz/survivor/","Survivor (Kdo přežije) | Novinky, zajímavosti a tipy ze světa seriálů a filmů | Edna.cz","voyo",29,44,"cs","Czech",82,@edna_cz,,307,39,346,29,edna.cz,41,57,03/10/2024 00:00,"TextLink","TextLink_Normal","https://voyo.nova.cz/?utm_source=dognet&utm_medium=affiliate&utm_campaign=5819b725cb071&a_aid=5819b725cb071&a_bid=084ccf77",16,22,,,0,0,0,0,0,0,0,18/02/2025 00:00,,,"Computers/Internet/Web Design and Development",27,"Business/Publishing and Printing",25,"Computers/Internet/Resources",23,"Computers/Internet/Web Design and Development",36,"Business/Publishing and Printing",30,"Computers/Internet/Resources",28,"Computers/Software/Shareware",28,"Arts/Television",26,"Business/Small Business",26,"Science/Social Sciences",26,"News/Magazines and E-zines",25,"Computers/Internet/On the Web",23,"Computers/News and Media",23,"Computers/Internet/Web Design and Development",15,,"Distinct"
"https://www.csfd.cz/film/859177-vlny/prehled/","Vlny (2024) | ČSFD.cz","voyo",35,36,"cs","Czech",98,,,237,17,254,10,csfd.cz,56,60,18/02/2025 00:00,"TextLink","TextLink_Normal","https://voyo.nova.cz/titul/10990-vlny",24,30,,,0,0,0,0,0,0,0,18/02/2025 00:00,,,"Arts/Movies",35,"Arts",18,"News/Newspapers",14,"Arts/Movies",56,"Arts/Organizations",26,"Society/People",25,"Arts/Television",25,"Arts/Music",23,"Regional/Europe",20,"Arts/Magazines and E-zines",20,"Computers/Internet/Searching",19,"Computers/Internet/Web Design and Development",19,"Computers/Internet/Domain Names",19,"Arts/Television",23,,"Distinct"
