"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
100,"Reference/Education",68633867,4096572939,775780
99,"Arts/Music",55937965,3324267905,728024
95,"Recreation/Travel",68641742,4786031408,1157793
94,"Regional/Europe",138656184,5830564823,1438377
94,"Society/Religion and Spirituality",71137553,2534261593,479240
93,"Society/Government",26200633,2059578070,343623
92,"Business",74601841,4503914532,1005532
91,"Business/Consumer Goods and Services",26589081,1119516402,189061
90,"Business/Construction and Maintenance",25472435,1215381930,292642
90,"Society/Issues",21357776,1772427547,270843
90,"Reference/Museums",9308769,715323330,140086
89,"Business/Industrial Goods and Services",30523582,1393334407,286977
89,"Arts/Television",18446086,768524933,106433
89,"Arts/Performing Arts",16874783,1051477583,202563
89,"Business/Financial Services",15101859,1049182908,208938
89,"Business/Transportation and Logistics",15083574,1063606971,225378
89,"Business/Arts and Entertainment",13425345,874682618,156333
89,"Recreation/Food",10896921,787531474,182869
89,"Arts/Entertainment",2050080,96901950,12888
88,"Arts/Movies",20352519,834094079,146228
88,"Computers/Internet/On the Web",19687661,1185410866,175351
88,"Regional/Asia",17728037,1015434319,235589
88,"Health/Medicine",12803401,697653191,151744
88,"Business/Automotive",12698066,639945252,110939
88,"Computers/Programming/Languages",10747177,763345194,159091
87,"Society/Organizations",28190198,1671856693,398458
87,"Science/Social Sciences",26854109,1677488983,278239
87,"Society/Politics",24101345,1468311455,249748
87,"Society",21288943,1666763541,273199
87,"Computers/Internet/Web Design and Development",19283413,1311667375,291804
87,"Arts",16843567,1299374103,245759
87,"Society/Law",16409655,1100764036,193289
87,"Science/Technology",11270846,875909371,156561
87,"Science/Environment",10237477,902996333,164952
87,"Health/Conditions and Diseases",10153814,614799638,122677
87,"Business/Food and Related Products",9991685,650085329,136581
86,"Sports/Soccer",33137908,855665798,147098
86,"Business/Business Services",16627128,1194163878,282343
86,"Regional/North America",15699201,1431223762,246111
86,"Recreation/Outdoors",13769649,827794657,156152
86,"Science/Biology",7826280,610277739,115992
85,"News/Media Industry",44056465,2001026589,216753
85,"Computers/Software/Operating Systems",10653205,731855694,126580
85,"Computers/Hardware",10534255,591346921,90950
85,"Reference/Libraries",10278314,669360923,112768
85,"Business/Electronics and Electrical",8212752,479352754,88241
85,"Society/Philanthropy",5037854,459708799,88300
84,"Society/People",39222745,2472912711,436005
84,"Computers/Internet",14539382,1007638165,205652
84,"Business/Real Estate",14506630,907388457,202825
84,"Health",13541942,775467820,168823
84,"Recreation",13071506,959775179,156319
84,"Arts/Radio",10026018,608543520,84557
84,"Computers/Security",3841633,258896016,49736
83,"News/Newspapers",18781151,882401953,113304
83,"Arts/Literature",18034786,1007704537,193270
83,"Business/Agriculture and Forestry",7980381,474303588,96042
83,"Business/Telecommunications",5248289,360282151,63402
83,"Computers/Software/Internet",5045226,510998543,72969
83,"Business/Hospitality",3142323,196113832,47705
82,"Recreation/Autos",25739105,1387039311,371178
82,"Business/Marketing and Advertising",9159225,650868503,133316
82,"Business/Publishing and Printing",8491291,445474738,92382
82,"Computers/Multimedia",3588575,256075026,39133
81,"Business/Energy",4897101,561360616,103092
81,"Health/Mental Health",3888913,311548668,74415
80,"Shopping",13389155,561143555,86108
79,"Arts/Animation",16036389,715948917,179600
79,"Computers/Internet/Searching",15834386,1083340153,233333
79,"Society/History",6954138,649665952,109631
79,"Business/Investing",6744171,394424312,69969
79,"Business/Textiles and Nonwovens",6484967,405415917,94163
79,"Business/Healthcare",5382922,319537652,67768
79,"Arts/Architecture",3874204,309205855,68649
79,"Business/Chemicals",3689529,228864480,42180
79,"Computers/Open Source",1702361,239872976,39123
78,"Recreation/Pets",13776506,1756403861,504521
78,"News",9104809,547486639,61935
78,"Arts/Visual Arts",8967794,593021488,160569
78,"World/Italiano",6421293,272935365,55778
78,"Science/Math",5045429,371801020,78650
78,"Science/Earth Sciences",4388516,307069336,53672
78,"Science/Astronomy",3838219,223064850,40669
78,"Sports/Golf",3538895,300231251,67420
78,"Business/Information Technology",2490967,196911414,39742
