"Source URL","Source Title","Anchor Text","Source Trust Flow","Source Citation Flow","Source Language","Source Language Description","Source Language Confidence","Site Twitter Handle","Page Author Twitter Handle","Source Internal OutLinks","Source External OutLinks","Source Total Outlinks","Source External OutDomains","Domain","Domain Trust Flow","Domain Citation Flow","Link First Indexed Date","Link Type","Link Subtype","Target URL","Target Trust Flow","Target Citation Flow","Indirect Target Url","Indirect Target Type","Is Redirect","Is Frame","Is NoFollow","Is Image","Is Lost","Is AltText","Is Mention","Link Last Seen Date","Link Lost Date","Link Lost Crawl Result","Source Topical Trust Flow Topic 0","Source Topical Trust Flow Value 0","Source Topical Trust Flow Topic 1","Source Topical Trust Flow Value 1","Source Topical Trust Flow Topic 2","Source Topical Trust Flow Value 2","Domain Topical Trust Flow Topic 0","Domain Topical Trust Flow Value 0","Domain Topical Trust Flow Topic 1","Domain Topical Trust Flow Value 1","Domain Topical Trust Flow Topic 2","Domain Topical Trust Flow Value 2","Domain Topical Trust Flow Topic 3","Domain Topical Trust Flow Value 3","Domain Topical Trust Flow Topic 4","Domain Topical Trust Flow Value 4","Domain Topical Trust Flow Topic 5","Domain Topical Trust Flow Value 5","Domain Topical Trust Flow Topic 6","Domain Topical Trust Flow Value 6","Domain Topical Trust Flow Topic 7","Domain Topical Trust Flow Value 7","Domain Topical Trust Flow Topic 8","Domain Topical Trust Flow Value 8","Domain Topical Trust Flow Topic 9","Domain Topical Trust Flow Value 9","Target Topical Trust Flow Topic 0","Target Topical Trust Flow Value 0","In Bucket","Duplication Classification"
"https://www.geenstijl.nl/","GeenStijl: Tendentieus, ongefundeerd & nodeloos kwetsend","viaplay paywall",66,49,"nl","Dutch/Flemish",94,,,88,67,155,26,geenstijl.nl,53,54,28/12/2024 00:00,"TextLink","TextLink_Normal","https://viaplay.com/nl-nl",27,36,,,0,0,0,0,1,0,0,17/02/2025 00:00,17/02/2025 00:00,"DownloadedSuccessfully","Society/Politics",66,"Computers/Internet/Searching",30,,,"Society/Politics",53,"Society/People",24,"Computers/Internet/Searching",21,"Arts/Literature",17,"Arts/Visual Arts",16,,,,,,,,,,,"Regional/Europe",26,,"Distinct"
"https://news.verstappen.com/","Max Verstappen - Verstappen.com","viaplay",62,43,"en","English",99,,,48,12,60,11,verstappen.com,53,43,28/03/2022 00:00,"ImageLink","ImageLink_Normal","https://viaplay.com/",43,41,,,0,0,0,1,0,0,0,16/02/2025 00:00,,,"Sports/Motorsports",62,,,,,"Sports/Motorsports",53,"Society/Paranormal",16,,,,,,,,,,,,,,,,,"Sports/Motorsports",43,,"Distinct"
"https://www.knbb.nl/","KNBB |","hier",57,43,"nl","Dutch/Flemish",80,,,197,31,228,17,knbb.nl,50,47,30/11/2024 00:00,"TextLink","TextLink_Normal","https://viaplay.com/nl-nl/sport/other/pool/mosconi-cup/s24112219085962797",7,5,,,0,0,0,0,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"DownloadedSuccessfully","Sports/Cue Sports",57,"Business/Textiles and Nonwovens",31,,,"Sports/Cue Sports",50,"Business/Textiles and Nonwovens",23,,,,,,,,,,,,,,,,,"Sports/Cue Sports",7,,"Distinct"
"https://www.aftonbladet.se/sportbladet/hockey/a/al0ywd/tre-kronor-vann-mot-usa-i-four-nations","4 Nations: Sverige slog USA – efter sjukdomskaos",,53,45,"sv","Swedish",94,,,51,1,52,0,aftonbladet.se,69,64,18/02/2025 00:00,"Frame","Frame_IFRAME","https://embed.viaplay.com/sport/d72e0e47-17ff-4e64-afa4-4ec0e3777c85?partnerId=c1f74caf-5fd6-4784-adf5-b14ffb111cfc&autoplay=true&showtitle=false&postplay=off&pmuid=viaplay-iframe-40599zdm7a97958",30,26,,,0,1,0,0,0,0,0,18/02/2025 00:00,,,"News/Newspapers",53,"Sports/Resources",33,"Sports/Hockey",28,"News/Newspapers",67,"Sports/Resources",45,"Sports/Hockey",40,"Recreation/Autos",39,"Health/News and Media",34,"Home/Personal Finance",32,"Arts/Music",28,"Arts/Literature",27,"Arts/Radio",25,"Regional/Europe",25,"News/Newspapers",30,,"Distinct"
"https://www.everysport.com/","Everysport.com",,50,44,"sv","Swedish",99,,,34,9,43,3,everysport.com,41,42,18/02/2025 00:00,"Frame","Frame_IFRAME","https://embed.viaplay.com/sport/55671acd-a3c5-4da2-9f9d-d07b9f4a58b4?partnerId=4526193b-d97b-47a8-ae9a-79671f9cec5f&showtitle=false",29,26,,,0,1,0,0,0,0,0,18/02/2025 00:00,,,"Sports",50,"Sports/Hockey",24,"Recreation/Pets",24,"Sports",41,"Sports/Hockey",16,"Recreation/Pets",15,"Computers/Internet/Searching",14,,,,,,,,,,,,,"Sports",29,,"Distinct"
"https://www.tvgids.nl/streaming/nieuw/","Vandaag op de streamingsdiensten - TVgids.nl","kijk direct: iconische trainers",47,43,"nl","Dutch/Flemish",87,@tvgidsnl,,227,55,282,17,tvgids.nl,59,53,14/01/2025 00:00,"TextLink","TextLink_Normal","https://viaplay.com/nl-nl/movies/iconische-trainers-2024?utm_source=TVgids-nl",0,0,,,0,0,0,0,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"DownloadedSuccessfully","Arts/Television",47,"Arts/Movies",23,"Health/Fitness",21,"Arts/Television",59,"Arts/Movies",23,"Arts/Music",22,"Health/Fitness",22,"Home",22,"Business/Publishing and Printing",21,"Computers/Internet/Searching",21,"Games/Video Games/Strategy",17,,,,,,,,"Distinct"
"https://www.goal.com/en-gb/news/stream-live-football-viaplay/blt3057654e828ae551","Stream live football on Viaplay: App, prices, subscription packages, platforms & full list of competitions to watch | Goal.com UK","viaplay",45,41,"en","English",99,@goal,,79,15,94,7,goal.com,65,62,16/08/2023 00:00,"TextLink","TextLink_Normal","https://viaplay.com/gb-en?utm_source=adtraction&utm_medium=affiliate&utm_campaign=Content&at_gd=E17FDFE8A11FB080572F9FE81C2EDB56CB948EDD",25,20,,,0,0,0,0,0,0,0,17/02/2025 00:00,,,"Sports/Soccer",45,"Sports/Water Sports",17,"Sports/Petanque",17,"Sports/Soccer",65,"Computers/Internet/On the Web",22,"Sports/Petanque",19,"Computers/Software/Graphics",19,"Sports/Water Sports",19,"Health",18,"Sports/Cycling",18,"Regional/Europe",18,,,,,"Sports/Soccer",25,,"Distinct"
"https://providerforum.nl/","Provider Forum","viaplay",41,43,"nl","Dutch/Flemish",86,,,171,41,212,31,providerforum.nl,27,37,09/02/2024 00:00,"TextLink","TextLink_Normal","https://www.viaplay.com/nl",0,26,"https://www.viaplay.nl/","PermanentRedirect",0,0,0,0,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"DownloadedSuccessfully","Computers/Internet/Access Providers",41,"Computers/Education",25,"Recreation/Autos",24,"Computers/Internet/Access Providers",27,"Computers/Education",17,"Recreation/Autos",16,"News",12,,,,,,,,,,,,,,,,"Distinct"
"https://click.justwatch.com/?longurlwascutoff_0&&&&&&&&&&&&&",,,35,45,,,0,,,0,0,0,4,justwatch.com,39,53,04/12/2024 00:00,"TextLink","TextLink_Normal","https://viaplay.com/nl/series/s.w.a.t./season-1/episode-1",0,14,,,0,0,0,0,1,0,0,18/02/2025 00:00,18/02/2025 00:00,"HTTP_302_307_TemporaryRedirect","Arts/Movies",34,"Arts/People",25,"Arts/Performing Arts",24,"Arts/Movies",36,"Arts/Television",28,"Arts/Animation",27,"Games/Video Games/News and Reviews",25,"Business/Real Estate",23,"Shopping/Vehicles",23,"Computers/Software/Internet",23,"Business/Arts and Entertainment",22,"Shopping/Niche",20,"Arts/Literature",20,,,,"CannotBeClassified"
"https://www.delta.nl/televisie/extra-zenders/viaplay/","Viaplay abonnement | Formule 1, topvoetbal en meer | DELTA","deze",40,39,"nl","Dutch/Flemish",87,,,166,13,179,8,delta.nl,54,49,02/03/2022 00:00,"TextLink","TextLink_Normal","https://help.viaplay.com/nl",25,35,,,0,0,0,0,0,0,0,18/02/2025 00:00,,,"Regional/Europe",39,"Computers/Internet",31,"Arts/Television",21,"Regional/Europe",51,"Computers/Internet",41,"Business/Telecommunications",34,"Arts/Television",25,"Arts/Radio",23,"Arts/Movies",16,,,,,,,,,"Regional/Europe",25,,"Distinct"
