"Position","Title","Domain","Ref Domains","Alexa Rank","Matches","Matched Links","External Referring URLs","Indexed URLs","Crawled URLs","First Crawled","Last Successful Crawl","IP","SubNet","Country Code","TLD","Trust Flow","Citation Flow","Topical Trust Flow Topic 0","Topical Trust Flow Value 0","Topical Trust Flow Topic 1","Topical Trust Flow Value 1","Topical Trust Flow Topic 2","Topical Trust Flow Value 2","Topical Trust Flow Topic 3","Topical Trust Flow Value 3","Topical Trust Flow Topic 4","Topical Trust Flow Value 4","Topical Trust Flow Topic 5","Topical Trust Flow Value 5","Topical Trust Flow Topic 6","Topical Trust Flow Value 6","Topical Trust Flow Topic 7","Topical Trust Flow Value 7","Topical Trust Flow Topic 8","Topical Trust Flow Value 8","Topical Trust Flow Topic 9","Topical Trust Flow Value 9","Links Per Crawled Url","Outlink Checked Pages","Average Internal Outlinks Per Page","Average External Outlinks Per Page","Average Total Outlinks Per Page","Average External Domains Per Page","Domain Language 0","Domain Language Page Ratio 0","Domain Language 1","Domain Language Page Ratio 1","Domain Language 2","Domain Language Page Ratio 2","Total Inbound Links","Supplemental","Live","Lost","From Deep Links","From Homepages","Direct","Indirect","Follow","NoFollow","HTTP","HTTPS","Redirect","Text Link","Image Link","Frame","In Bucket"
1,"ŽBL.BASKETBALL","zbl.basketball",96,-1,0,223715,806043,495445,492686,22/10/2024,18/02/2025,"46.234.119.243","46.234.119.0","CZ","basketball",23,41,"Sports/Basketball",23,"Sports/Organizations",9,,0,,0,,0,,0,,0,,0,,0,,0,0.45,417495,24,12,36,8,"cs",99.9,,,,,223715,0,222933,782,223714,1,223715,0,223715,0,0,223715,0,0,223715,0,
2,"Human Check","tipnafilm.cz",88,-1,0,161661,140,6943,6813,30/10/2024,15/02/2025,"45.138.107.23","45.138.107.0","VN","cz",2,16,"Recreation/Pets",2,"Regional/Europe",2,"Home/Family",1,"Recreation/Travel",1,"Arts/Music",1,"Adult/Regional",1,"Reference/Maps",1,"Business",1,"Recreation/Autos",1,"Adult/World",1,23.73,6697,71,27,98,4,"cs",93.8,"en",6.0,,,167074,5413,166964,110,167048,26,167074,0,161661,5413,0,167074,0,167074,0,0,
3,"Zkouknout - Seriály, filmy, televize a sportovní přenosy online ke zhlédnutí","zkouknout.cz",424,-1,0,122038,50097,52937,11364,22/10/2024,18/02/2025,"172.67.68.58","172.67.68.0","US","cz",19,38,"Arts/Music",19,"Games/Online",16,"Shopping/Directories",11,"Computers/Internet/Web Design and Development",9,,0,,0,,0,,0,,0,,0,10.74,10679,32,9,41,6,"cs",100.0,,,,,254298,132260,32263,222035,254286,12,254298,0,4315,249983,0,254298,1,186590,67707,0,
4,"Filmy, seriály, herci, recenze filmů - Filmová databáze online FDb.cz","fdb.cz",4254,117002,0,75640,663231,1648430,93174,22/10/2024,18/02/2025,"185.219.169.89","185.219.169.0","CZ","cz",36,53,"Arts/Movies",36,"Arts/Music",21,"Computers/Internet/Searching",18,"Computers/Internet/Web Design and Development",17,"Reference/Education",17,"Business/Arts and Entertainment",14,"Recreation/Pets",13,"Regional/Europe",13,"Shopping/Classifieds",13,,0,0.81,81268,91,7,98,6,"cs",99.4,"en",0.2,"vi",0.1,77494,1854,77214,280,77491,3,77492,2,75514,1980,0,77494,0,75640,1854,0,
5,"Seriálovénebe.cz | Vaše nejoblíbenější seriály a filmy","serialovenebe.cz",14,-1,0,57428,77,90805,42133,22/10/2024,17/02/2025,"37.9.175.163","37.9.175.0","SK","cz",3,14,"Regional/Europe",3,,0,,0,,0,,0,,0,,0,,0,,0,,0,1.36,26195,96,4,100,4,"cs",99.7,"sk",0.2,,,57630,202,34100,23530,57624,6,57630,0,39417,18213,504,57126,84,35888,21658,0,
6,"Filmy online ke shlédnutí zdarma | FilmyŽivě.cz","filmyzive.cz",20,-1,0,33476,119,200827,191590,22/10/2024,18/02/2025,"91.239.201.15","91.239.201.0","CZ","cz",0,21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.17,33454,34,5,39,5,"cs",99.9,,,,,33476,0,33429,47,33475,1,33476,0,0,33476,0,33476,0,0,33476,0,
7,"特定非営利活動法人フレンドリー情報センター","newsports-21.com",117,-1,0,24694,1400,194989,32456,23/10/2024,18/02/2025,"219.94.163.221","219.94.163.0","JP","com",37,31,"Sports",37,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.76,29991,86,24,110,16,"ja",99.9,,,,,24694,0,24331,363,24694,0,24694,0,24694,0,0,24694,0,24694,0,0,
8,"Domů | Venclíkovi.cz","venclikovi.cz",16,-1,0,12129,2743,25640,24515,28/10/2024,18/02/2025,"31.15.10.197","31.15.10.0","CZ","cz",10,20,"Sports/Hockey",10,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.49,12233,25,130,155,41,"cs",95.5,"en",4.3,,,12413,284,12359,54,12412,1,61,12352,12048,365,0,12413,3,12329,81,0,
9,"Filmtoro - když nevíš, co si pustíš","filmtoro.cz",692,77301,0,6514,241809,368297,46558,22/10/2024,18/02/2025,"193.105.159.243","193.105.159.0","CZ","cz",24,45,"Arts/Television",23,"Arts/Movies",21,"Home/Consumer Information",11,"Regional/Europe",11,"Recreation/Food",10,"Society/Issues",10,"Games/Video Games/News and Reviews",10,"Arts/Literature",10,"Computers/News and Media",10,"Computers/Internet/Searching",10,0.14,36544,89,7,96,6,"cs",99.9,,,,,17935,11421,17202,733,17935,0,17935,0,17935,0,0,17935,0,7002,10933,0,
10,"Pepak.net","pepak.net",102,-1,0,4312,1999,49374,47202,22/10/2024,04/02/2025,"66.96.163.141","66.96.163.0","US","net",12,29,"Computers/Internet/On the Web",12,"Computers/Software/Shareware",9,"Computers/Programming/Languages",9,"Computers/Consultants",8,"Computers/Internet/Abuse",8,"Computers/Software/File Management",8,"Recreation/Outdoors",6,"Computers/Internet/Web Design and Development",6,"Games/Video Games/Strategy",6,"Business/Publishing and Printing",6,0.09,22175,12,2,14,1,"cs",63.4,"en",31.2,"sk",5.3,4312,0,4306,6,4312,0,4312,0,4308,4,2,4310,0,4312,0,0,
