"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
62,"Business/Arts and Entertainment",30277,493576,1426
62,"Arts/Animation",11637,451635,1439
60,"Arts/Movies",60103,825428,2373
54,"Arts/Entertainment",2094,35492,233
53,"Arts/Television",45607,614301,1968
51,"Recreation/Theme Parks",12048,136429,201
48,"Arts",4502,378919,1721
45,"Computers/Internet/On the Web",12752,280938,2179
45,"Sports/Motorsports",11322,360866,253
43,"Shopping",2877,28173,491
42,"Shopping/Clothing",966,49898,227
41,"Games/Video Games/Shooter",2417,100080,199
41,"Business/Telecommunications",1265,30433,692
40,"Arts/Comics",11113,343654,1066
39,"Sports/Resources",6159,455271,275
38,"Arts/Performing Arts",11227,355893,1728
38,"Arts/Music",6768,307863,4581
34,"Society/Organizations",19602,131487,1709
34,"Games/Video Games/Adventure",8082,25616,85
34,"Sports/Basketball",1278,434545,167
33,"News",1742,142644,670
32,"Regional/Europe",18649,951291,5300
32,"Computers/Programming/Languages",672,60254,1306
31,"News/Newspapers",5826,592025,1682
31,"Games/Video Games/Developers and Publishers",3780,50070,218
30,"Recreation/Food",25194,325514,1244
30,"Recreation",22049,413775,675
30,"Computers/Internet",1859,42304,1495
30,"Computers/Software/Desktop Customization",659,12477,114
30,"Computers/Internet/Protocols",36,817,154
29,"Society/People",22042,302141,4275
29,"Sports/Football",6733,784813,561
29,"Business/Business Services",4251,40285,1406
29,"Health/Child Health",936,5301,75
29,"Sports/Cycling",623,142598,245
29,"Business/Retail Trade",38,1302,115
28,"News/Magazines and E-zines",7461,65245,974
28,"Reference/Education",6782,521633,4605
28,"Computers/Internet/Searching",6393,474679,1412
28,"Business",5942,520354,4290
28,"Sports/Tennis",5280,438924,183
28,"Adult/Society",12,53463,154
27,"Regional/South America",27362,705319,427
27,"Society",6490,127958,1608
27,"Home/Do-It-Yourself",2699,320639,107
27,"Society/Gay  Lesbian  and Bisexual",1310,15365,554
27,"Business/Consumer Goods and Services",1214,45075,754
27,"Computers/Internet/Access Providers",378,8105,299
27,"Computers/Programming/Internet",71,3507,170
26,"News/Media Industry",26881,916274,3279
26,"Regional/Asia",2245,161352,838
26,"Shopping/Music",1946,15183,59
26,"Arts/Radio",1610,47932,1398
26,"Arts/Design",1022,16611,504
26,"Shopping/Food",598,5044,213
26,"Society/Ethnicity",244,18946,375
26,"News/Weather",105,1693,146
25,"Recreation/Travel",13058,633064,5288
25,"Arts/Literature",10543,239361,2230
25,"Home/Consumer Information",4737,77440,656
25,"Arts/People",2466,26227,432
25,"News/Directories",2416,72219,672
25,"Computers/Software/Operating Systems",2025,65150,1570
25,"Home/Cooking",1835,70157,774
25,"Shopping/Entertainment",1650,27346,248
25,"Business/Financial Services",1226,19210,1134
25,"Regional/North America",784,20964,1505
25,"Computers/Software/Freeware",464,17308,320
25,"Games/Video Games",335,7497,186
25,"Games/Video Games/Driving and Racing",255,6439,45
24,"Sports/Soccer",28722,845274,950
24,"Computers/News and Media",3243,43651,876
24,"Society/Subcultures",2538,7893,462
24,"Science/Social Sciences",1732,73898,1981
24,"Recreation/Radio",706,34961,913
24,"Science/Educational Resources",452,9322,73
24,"Computers/Security",383,8610,617
24,"Computers/FAQs  Help  and Tutorials",67,8921,64
24,"Recreation/Camps",26,1656,21
23,"Society/Issues",13006,370371,2249
23,"Business/Publishing and Printing",11966,90635,697
23,"Society/Religion and Spirituality",7915,414402,2801
23,"Reference/Museums",4100,215495,870
23,"Science/Technology",2794,16011,717
23,"Science/Environment",1142,59710,904
23,"Business/Directories",194,16874,280
22,"Health/Conditions and Diseases",21030,57168,595
22,"Computers/Internet/Web Design and Development",9640,103819,1928
22,"Arts/Visual Arts",6858,372894,767
22,"Sports/Martial Arts",5835,250619,147
22,"Games/Video Games/Action",1721,24178,84
22,"Science/Biology",1170,129179,725
22,"Business/Investing",816,4920,437
22,"Sports/Hockey",624,290517,138
22,"Computers/Data Formats",607,210554,546
22,"Home/Personal Finance",271,4276,292
22,"Reference",115,22128,111
22,"Computers/Companies",96,5783,220
21,"Society/History",2661,67449,822
21,"Science/News and Media",1847,43675,190
21,"Business/Marketing and Advertising",1725,20650,1030
21,"Reference/Libraries",1419,34646,737
21,"Society/Law",1266,85418,1246
21,"Arts/Photography",1228,38028,553
21,"Computers/Systems",928,15877,688
21,"Society/Holidays",447,30034,203
21,"Games/Video Games/Roleplaying",380,38995,425
21,"Business/Management",229,2739,293
21,"Home/Homemaking",175,1133,67
21,"Shopping/Jewelry",49,1562,107
21,"Sports/Table Tennis",8,38,15
20,"Society/Government",23628,86889,1612
20,"Recreation/Autos",7084,319487,1417
20,"Recreation/Pets",2009,416951,1871
20,"Home/Family",1881,237225,1788
20,"Reference/Maps",1336,357538,674
20,"Games",1139,2992,71
20,"Games/Video Games/News and Reviews",1093,24323,319
20,"Recreation/Outdoors",809,16694,616
20,"Games/Gambling",361,5186,164
20,"Shopping/Visual Arts",344,23284,224
20,"Computers/Graphics",193,141727,213
20,"Reference/Dictionaries",112,3223,218
20,"Science/Chemistry",80,2831,106
20,"Health/Animal",73,6238,150
20,"Shopping/Toys and Games",45,464,64
20,"Computers/Shopping",40,1232,60
20,"Sports/Skating",8,662,44
20,"News/Satire",4,52,9
19,"Computers/Hardware",1202,41566,874
19,"Health/Medicine",1174,41650,588
19,"Computers/Internet/News and Media",927,2166,127
19,"World/Italiano",620,47478,237
19,"Business/Food and Related Products",485,22913,691
19,"Shopping/General Merchandise",467,21058,57
19,"Sports/Winter Sports",188,14343,168
19,"Computers/Organizations",31,2137,91
18,"Computers/Internet/Resources",3797,22774,31
18,"Arts/Writers Resources",866,17762,382
18,"Business/Construction and Maintenance",679,11961,914
18,"Society/Relationships",653,23998,454
18,"Sports/Baseball",600,406436,245
18,"Computers/Multimedia",552,13359,429
18,"Arts/Genres",397,49437,155
18,"Recreation/Humor",348,26769,573
18,"Arts/Illustration",287,4038,191
18,"Sports/Events",233,13243,60
18,"Arts/Weblogs",200,3905,76
18,"Society/Folklore",192,44167,155
18,"Business/Employment",141,3254,365
18,"Arts/Graphic Design",70,1047,121
18,"Computers/Internet/Proxying and Filtering",53,971,87
18,"Games/Puzzles",43,1991,74
18,"Sports/Water Sports",35,803,137
18,"Computers/Consultants",34,619,85
18,"Science/Reference",13,11540,30
18,"Computers/Internet/Commercial Services",8,82,19
17,"Society/Politics",5843,533338,2460
17,"Business/Small Business",1447,26258,272
17,"Health/Mental Health",1020,9623,428
17,"Health/Fitness",873,6635,93
17,"Shopping/Publications",669,8610,357
17,"Games/Roleplaying",663,2814,199
17,"News/Weblogs",538,30172,387
17,"Computers/Mobile Computing",490,5919,198
17,"Science/Science in Society",408,2803,173
17,"Arts/Online Writing",390,17899,550
17,"Computers/Software/Graphics",281,25428,219
17,"Business/Energy",238,3377,417
17,"Arts/Education",207,1373,181
17,"Business/Healthcare",156,1628,225
17,"Reference/Directories",62,3090,149
17,"Science",45,2290,78
