"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
55,"Arts/Movies",698409,3062776,8069
53,"Arts/Performing Arts",30252,1179973,6842
52,"Arts/Illustration",2191,691311,890
51,"Sports/Wrestling",1144,25874,245
49,"Arts/Television",132653,1018175,5687
48,"Business/Arts and Entertainment",21234,1789780,5595
48,"Business/Telecommunications",3933,144926,2642
44,"Arts/Literature",42852,1760522,8907
44,"Society/Government",11561,560113,7250
44,"Computers/Programming/Languages",7866,5087026,7702
43,"Arts/Comics",21894,328655,3191
41,"Arts/Animation",83076,1658480,5726
41,"Arts/Music",41232,2367288,18164
41,"Arts/Awards",1175,3258,30
40,"Computers/Software/Operating Systems",26573,4111907,6821
40,"News/Magazines and E-zines",23242,353706,3682
40,"Games/Video Games/Developers and Publishers",626,119783,874
38,"Society/People",95828,7629190,19653
38,"Computers/Internet/On the Web",29816,3481219,9754
38,"Computers/Internet",9957,357018,7120
37,"Recreation/Travel",45719,1742690,24140
37,"Business/Industrial Goods and Services",23397,430778,4569
37,"Arts/People",14251,209317,1603
36,"Business/Business Services",5967,334785,6747
35,"Home/Consumer Information",27476,334163,2391
35,"Arts/Entertainment",5226,234877,1010
34,"Business",32041,1815236,19614
34,"News/Newspapers",13793,276689,5460
34,"Reference/Biography",2206,27583,127
33,"Society/Religion and Spirituality",26218,1317443,13214
33,"Society/Issues",16290,1594216,10887
33,"Arts/Design",12421,391709,2375
33,"Games/Video Games/Roleplaying",4633,348569,1531
33,"Society/Ethnicity",2443,60324,1700
33,"Computers/Open Source",2326,1644036,2263
33,"Computers/Data Communications",1218,23098,487
32,"Regional/Europe",459147,4487734,24059
32,"Reference/Education",31495,1051981,21559
32,"News/Media Industry",26947,554645,11286
32,"Shopping",7775,161478,2135
32,"Computers/Security",6113,2434591,2836
32,"Society/Military",1018,47421,886
32,"Shopping/Holidays",60,698,39
31,"Arts/Writers Resources",54923,219318,1970
31,"Science/Social Sciences",51490,693213,9788
31,"Arts",40603,743580,6981
31,"Computers/Internet/Web Design and Development",30701,901588,10205
31,"Computers/Software/Internet",8297,2701763,4372
31,"Society/History",7301,196174,3820
31,"Arts/Photography",6287,660520,2658
31,"Society/Activism",5750,177423,1144
31,"Arts/Visual Arts",5594,236396,3672
31,"Science/Technology",3578,584161,3524
31,"Society/Subcultures",3242,173829,1973
31,"Recreation",2695,279198,2964
31,"Computers/Internet/Access Providers",1792,77293,969
31,"Computers/FAQs  Help  and Tutorials",1264,10350,299
31,"Reference/Directories",457,124908,526
31,"Computers/Internet/Routers and Routing",326,5429,263
30,"Computers/Internet/Searching",23372,1808503,5950
30,"Computers/News and Media",18449,1762876,3336
30,"Recreation/Food",10357,566489,5037
30,"Recreation/Humor",9356,218956,2173
30,"Society",7987,345841,7617
30,"Society/Gay  Lesbian  and Bisexual",6067,145922,2324
30,"Society/Relationships",4428,252714,2069
30,"Reference/Museums",2861,167564,3458
30,"Science/Earth Sciences",2612,1518312,1426
30,"Health/Mental Health",2601,118594,2084
30,"Science/Biology",1746,84001,3283
30,"Business/Agriculture and Forestry",1123,49740,1305
30,"Society/Lifestyle Choices",989,9320,694
30,"Computers/Software/Databases",736,1415942,801
30,"Computers/Human-Computer Interaction",381,10886,342
29,"Computers/Internet/E-mail",46363,142969,1368
29,"Society/Law",26666,345910,6019
29,"Business/Publishing and Printing",21400,358569,3336
29,"Society/Politics",20620,994331,10546
29,"Computers/Systems",15836,269777,2392
29,"Shopping/Entertainment",12895,76549,778
29,"Society/Organizations",11401,377613,8801
29,"Business/Consumer Goods and Services",7049,170881,3576
29,"Computers/Hardware",5824,1792933,3400
29,"Recreation/Outdoors",4552,154550,2925
29,"Arts/Crafts",4510,93881,2017
29,"Business/Construction and Maintenance",3622,327767,4447
29,"Computers/Data Formats",3543,1972566,3164
29,"Computers/Software/Freeware",2917,65818,1108
29,"Computers/Organizations",2323,19878,526
29,"Arts/Architecture",1615,267349,1451
29,"Business/Automotive",1341,62749,1851
29,"Sports/Golf",1321,90783,1323
29,"Business/Retail Trade",918,17878,565
29,"Computers/Internet/Protocols",586,22981,695
29,"Computers/Internet/Organizations",508,13207,414
29,"Society/Transgender",452,19163,357
29,"Science/Educational Resources",143,4494,286
29,"Reference/World Records",4,455,12
28,"Home/Family",10675,724183,8951
28,"Business/Financial Services",10654,193955,5565
28,"Arts/Radio",6845,246928,4496
28,"Recreation/Radio",4810,195834,2589
28,"Sports/Football",3842,361056,1739
28,"Health/Medicine",3648,56280,2798
28,"Computers/Programming/Internet",1256,30438,868
28,"Computers/Software/Graphics",970,29732,989
28,"Computers/Internet/Proxying and Filtering",757,11837,399
28,"Games/Video Games/Platform",570,21946,135
28,"Games/Video Games/Puzzle",238,3163,148
28,"Recreation/Aviation",212,13901,617
28,"Science/Reference",187,31659,121
27,"Business/Investing",8407,49813,2475
27,"Regional/North America",8371,401646,6109
27,"Computers/Multimedia",8335,120964,1876
27,"Business/Marketing and Advertising",6393,1964473,5402
27,"News",5608,359615,2666
27,"Arts/Magazines and E-zines",5108,55445,529
27,"Business/Transportation and Logistics",2694,2145181,4707
27,"Games/Video Games/Console Platforms",1858,92179,760
27,"Society/Philosophy",1654,219541,2329
27,"Computers/Mobile Computing",1580,36317,831
27,"Sports",1498,27067,510
27,"Home/News and Media",1208,5822,302
27,"Shopping/Health",1031,57646,870
27,"Reference/Dictionaries",585,76382,1071
26,"Recreation/Pets",26233,2584199,9491
26,"News/Weblogs",11319,274692,1861
26,"Regional/Asia",9863,668549,4172
26,"Business/Real Estate",4718,802043,4325
26,"Adult/Shopping",3806,126479,2281
26,"Science/Environment",3684,186464,4369
26,"Games/Video Games/News and Reviews",3455,183056,987
26,"Business/Information Technology",1859,587162,1563
26,"Games/Video Games",1832,45462,568
26,"Games/Roleplaying",1649,34512,867
26,"Business/Directories",1407,77822,1247
26,"Regional/South America",1061,243973,1367
26,"Home",1049,24074,447
26,"Sports/Martial Arts",1021,24166,674
26,"Arts/Weblogs",941,46831,339
26,"Computers/Graphics",861,215568,887
26,"Computers/Software/Networking",268,57209,357
26,"Business/E-Commerce",257,95544,462
26,"Society/Death",238,12213,348
26,"Adult/Business",117,3762,209
26,"Computers/Programming/Compilers",60,4168,149
26,"Computers/Software/Consultants",24,661,85
25,"Health",8964,404351,3253
25,"Reference/Libraries",7451,237469,3609
25,"Arts/Online Writing",3411,185852,2627
25,"News/Breaking News",3368,58926,780
25,"Adult/Arts",2831,19581,546
25,"Arts/Genres",2404,82548,557
25,"Reference",987,468801,462
25,"Computers/Programming/Resources",965,1533344,768
25,"Science/Physics",792,265603,1465
