Domain,CountryCode,BackLinks_primevideo.com,BackLinks_tv.apple.com,BackLinks_max.com
google.com,US,6,0,2
linkedin.com,CA,2,6,0
apple.com,US,16,0,66
wikipedia.org,US,0,8,2
yahoo.com,US,159,783,500
pbs.org,US,3,5355,0
spotify.com,US,926,1519,29
nytimes.com,US,0,5,4
blogspot.com,IN,3987,319,390
nhl.com,US,14,0,7
angelfire.com,US,0,5,8
usatoday.com,CA,10,412,105
bing.com,CA,55,52,15
npr.org,US,0,24,18
warnerbros.com,US,0,7171,4
howstuffworks.com,US,0,2,1
utoronto.ca,US,2,2,0
ign.com,US,67,95,39
cbc.ca,US,6,3,0
samsung.com,US,15,2,4
foxnews.com,US,0,14,5
free.fr,FR,9,0,3
cnet.com,US,60,60,35
bbc.com,US,0,5,3
github.io,NL,20,2,5
bu.edu,US,0,2,6
abc.net.au,NL,4,2,0
zendesk.com,US,5,0,7
rottentomatoes.com,US,4,151,46
aol.co.uk,UK,0,4,2
lemonde.fr,FR,7,3,1
theguardian.com,US,6,87,1
forbes.com,US,38,660,314
bit.ly,US,100,61,9
huffpost.com,US,11,5,34
substack.com,US,16,67,14
weebly.com,CA,5,15,4
moviepilot.de,DE,4,346,0
ask.com,US,0,10,1
digg.com,US,0,4,9
goodreads.com,US,0,35,4
cbsnews.com,US,0,97,51
verizon.com,US,2,0,1573
aarp.org,US,13,687,72
bizjournals.com,US,0,35,5
theatlantic.com,US,0,24,19
nbcnews.com,US,0,6,3
time.com,US,0,117,19
amazonaws.com,US,4,0,1
unam.mx,US,3,6,0
salon.com,US,0,4,2
uol.com.br,BR,180,23,28
rollingstone.com,US,3,58,4
medium.com,US,25,16,9
sxsw.com,US,0,6,3
americanexpress.com,US,6,2,0
boston.com,US,4,154,145
iheart.com,US,2,20,76
zdnet.com,US,6,5,4
techcrunch.com,US,4,14,5
sonymusic.com,US,0,9,1
nypl.org,US,3,10,3
ucr.edu,US,0,2,1
indiana.edu,US,0,8,5
rbc.ru,RU,2,28,0
pcmag.com,US,3,26,98
arstechnica.com,US,0,8,7
constantcontact.com,US,0,3,1
indiatimes.com,EU,3,3,0
tiscali.it,IT,13,0,2
biography.com,US,0,4,19
boingboing.net,US,0,4,1
space.com,US,0,2165,2
billboard.com,US,2,33,33
mirror.co.uk,IE,4,0,2
politico.com,US,0,6,1
slate.com,US,0,21,60
newsweek.com,US,4,0,4
sonypictures.com,NL,2,459,1
xfinity.com,US,0,3,7
gazeta.ru,RU,6,4,4
stern.de,US,11,3,0
avast.com,US,4,4,0
idnes.cz,CZ,2,0,8
elle.com,US,262,15,6
elpais.com,EU,61,11,17
